X, Y
17701, 35405;
13744, 27491;
13456, 26915;
22745, 45493;
4591, 9185;
6859, 13721;
12814, 25631;
11313, 22629;
15794, 31591;
2654, 5311;
24065, 48133;
16018, 32039;
12577, 25157;
26783, 53569;
28888, 57779;
594, 1191;
17208, 34419;
18405, 36813;
11676, 23355;
24497, 48997;
9334, 18671;
477, 957;
18120, 36243;
17025, 34053;
2630, 5263;
20252, 40507;
1372, 2747;
2245, 4493;
11966, 23935;
1061, 2125;
26157, 52317;
12489, 24981;
859, 1721;
2110, 4223;
8575, 17153;
1940, 3883;
24364, 48731;
926, 1855;
20693, 41389;
1897, 3797;
24415, 48833;
2089, 4181;
9992, 19987;
2660, 5323;
5081, 10165;
24896, 49795;
28311, 56625;
26979, 53961;
17978, 35959;
26354, 52711;
16958, 33919;
3698, 7399;
3136, 6275;
13703, 27409;
13258, 26519;
25643, 51289;
17723, 35449;
12383, 24769;
21803, 43609;
16526, 33055;
3009, 6021;
29190, 58383;
22475, 44953;
19502, 39007;
28578, 57159;
28251, 56505;
13854, 27711;
21884, 43771;
3102, 6207;
2754, 5511;
7035, 14073;
26952, 53907;
20054, 40111;
25782, 51567;
2298, 4599;
21637, 43277;
1, 5;
28115, 56233;
8126, 16255;
29517, 59037;
27232, 54467;
26323, 52649;
26532, 53067;
28965, 57933;
9588, 19179;
726, 1455;
19453, 38909;
24193, 48389;
26478, 52959;
2088, 4179;
15529, 31061;
16267, 32537;
26727, 53457;
24894, 49791;
17572, 35147;
752, 1507;
11857, 23717;
7361, 14725;
21910, 43823;
14619, 29241;
21806, 43615;
6910, 13823;
29093, 58189;
21207, 42417;
10112, 20227;
2493, 4989;
10126, 20255;
4335, 8673;
6912, 13827;
15905, 31813;
5364, 10731;
840, 1683;
1426, 2855;
26063, 52129;
25336, 50675;
22610, 45223;
7801, 15605;
21330, 42663;
28937, 57877;
11402, 22807;
8135, 16273;
27071, 54145;
8701, 17405;
29508, 59019;
7192, 14387;
27540, 55083;
2609, 5221;
23719, 47441;
23680, 47363;
12518, 25039;
9998, 19999;
23801, 47605;
23234, 46471;
2236, 4475;
14077, 28157;
14621, 29245;
11203, 22409;
18870, 37743;
11101, 22205;
15449, 30901;
28222, 56447;
22002, 44007;
25314, 50631;
1581, 3165;
4536, 9075;
5679, 11361;
15711, 31425;
18561, 37125;
2487, 4977;
12339, 24681;
2199, 4401;
15695, 31393;
16687, 33377;
1851, 3705;
12113, 24229;
2065, 4133;
25149, 50301;
2466, 4935;
24234, 48471;
5579, 11161;
17943, 35889;
26387, 52777;
5551, 11105;
8092, 16187;
8516, 17035;
23538, 47079;
21291, 42585;
1314, 2631;
16392, 32787;
5608, 11219;
21950, 43903;
4684, 9371;
26403, 52809;
3341, 6685;
8751, 17505;
12691, 25385;
11451, 22905;
15932, 31867;
17411, 34825;
1291, 2585;
23958, 47919;
19313, 38629;
1823, 3649;
29654, 59311;
17036, 34075;
1605, 3213;
21194, 42391;
13067, 26137;
23100, 46203;
23742, 47487;
15654, 31311;
13205, 26413;
23295, 46593;
3984, 7971;
20641, 41285;
5006, 10015;
4378, 8759;
1593, 3189;
12759, 25521;
5102, 10207;
27960, 55923;
29596, 59195;
14042, 28087;
591, 1185;
22295, 44593;
3900, 7803;
28548, 57099;
28659, 57321;
6273, 12549;
14395, 28793;
2060, 4123;
23047, 46097;
29822, 59647;
13779, 27561;
14808, 29619;
10025, 20053;
16072, 32147;
13861, 27725;
16018, 32039;
7721, 15445;
1919, 3841;
6945, 13893;
1102, 2207;
14860, 29723;
12062, 24127;
3749, 7501;
19211, 38425;
2599, 5201;
382, 767;
8681, 17365;
17064, 34131;
13962, 27927;
24633, 49269;
1770, 3543;
8920, 17843;
12266, 24535;
29570, 59143;
23621, 47245;
27529, 55061;
29827, 59657;
15091, 30185;
29303, 58609;
24226, 48455;
2158, 4319;
3287, 6577;
21539, 43081;
13019, 26041;
8784, 17571;
29897, 59797;
4035, 8073;
26833, 53669;
1779, 3561;
20844, 41691;
9154, 18311;
298, 599;
8505, 17013;
1325, 2653;
23706, 47415;
15381, 30765;
23933, 47869;
614, 1231;
24122, 48247;
1046, 2095;
12797, 25597;
27125, 54253;
23722, 47447;
12769, 25541;
29349, 58701;
21964, 43931;
18417, 36837;
15077, 30157;
29005, 58013;
7673, 15349;
28471, 56945;
24811, 49625;
23031, 46065;
18697, 37397;
24359, 48721;
23807, 47617;
9297, 18597;
18297, 36597;
2663, 5329;
2990, 5983;
16002, 32007;
877, 1757;
13419, 26841;
6752, 13507;
21794, 43591;
6308, 12619;
1462, 2927;
7913, 15829;
23690, 47383;
18604, 37211;
4899, 9801;
19802, 39607;
16207, 32417;
2594, 5191;
22164, 44331;
16413, 32829;
22025, 44053;
1581, 3165;
1240, 2483;
1601, 3205;
3161, 6325;
28540, 57083;
17602, 35207;
27666, 55335;
22314, 44631;
12156, 24315;
25512, 51027;
12781, 25565;
24630, 49263;
15806, 31615;
4329, 8661;
9554, 19111;
2764, 5531;
19689, 39381;
24290, 48583;
20539, 41081;
13777, 27557;
2524, 5051;
10819, 21641;
12972, 25947;
24326, 48655;
16871, 33745;
573, 1149;
14988, 29979;
2952, 5907;
14650, 29303;
16159, 32321;
28083, 56169;
6557, 13117;
17821, 35645;
28242, 56487;
1300, 2603;
24493, 48989;
354, 711;
7521, 15045;
8509, 17021;
15503, 31009;
10904, 21811;
17005, 34013;
12108, 24219;
2007, 4017;
642, 1287;
25344, 50691;
693, 1389;
14988, 29979;
16712, 33427;
2288, 4579;
1681, 3365;
5966, 11935;
29163, 58329;
2391, 4785;
1369, 2741;
1607, 3217;
19070, 38143;
5600, 11203;
16515, 33033;
14257, 28517;
21652, 43307;
2660, 5323;
7884, 15771;
12521, 25045;
1221, 2445;
29847, 59697;
18327, 36657;
1059, 2121;
18837, 37677;
14172, 28347;
26005, 52013;
1407, 2817;
2246, 4495;
12352, 24707;
22213, 44429;
5578, 11159;
25772, 51547;
10533, 21069;
2446, 4895;
23367, 46737;
22513, 45029;
27741, 55485;
12299, 24601;
16799, 33601;
6331, 12665;
19147, 38297;
15782, 31567;
1847, 3697;
8923, 17849;
19780, 39563;
25320, 50643;
22738, 45479;
12872, 25747;
5435, 10873;
1631, 3265;
17270, 34543;
16843, 33689;
12446, 24895;
8929, 17861;
23379, 46761;
25083, 50169;
25851, 51705;
25153, 50309;
13841, 27685;
1852, 3707;
13799, 27601;
11776, 23555;
14729, 29461;
22308, 44619;
10912, 21827;
9333, 18669;
11911, 23825;
27726, 55455;
5873, 11749;
17232, 34467;
28878, 57759;
27187, 54377;
27478, 54959;
1835, 3673;
24669, 49341;
28517, 57037;
20577, 41157;
10594, 21191;
705, 1413;
22333, 44669;
4444, 8891;
28709, 57421;
11467, 22937;
10888, 21779;
6704, 13411;
17611, 35225;
1667, 3337;
2174, 4351;
3206, 6415;
1129, 2261;
18237, 36477;
7156, 14315;
12331, 24665;
16036, 32075;
27467, 54937;
28882, 57767;
17081, 34165;
22211, 44425;
10707, 21417;
15814, 31631;
27252, 54507;
15113, 30229;
21731, 43465;
266, 535;
20594, 41191;
9793, 19589;
23010, 46023;
14468, 28939;
9727, 19457;
8090, 16183;
4632, 9267;
27741, 55485;
6463, 12929;
11445, 22893;
1857, 3717;
9621, 19245;
2021, 4045;
27133, 54269;
17533, 35069;
7941, 15885;
10308, 20619;
2055, 4113;
15036, 30075;
25028, 50059;
20436, 40875;
5721, 11445;
8729, 17461;
27806, 55615;
24760, 49523;
29344, 58691;
388, 779;
28609, 57221;
7341, 14685;
5597, 11197;
4580, 9163;
28858, 57719;
2357, 4717;
11792, 23587;
20349, 40701;
27296, 54595;
10469, 20941;
21815, 43633;
6222, 12447;
16015, 32033;
26156, 52315;
9576, 19155;
190, 383;
2136, 4275;
997, 1997;
21278, 42559;
5049, 10101;
11127, 22257;
18046, 36095;
16849, 33701;
20757, 41517;
11334, 22671;
6570, 13143;
18121, 36245;
18682, 37367;
10608, 21219;
2020, 4043;
3635, 7273;
29361, 58725;
2471, 4945;
14181, 28365;
22133, 44269;
16347, 32697;
12698, 25399;
3448, 6899;
143, 289;
23478, 46959;
22049, 44101;
2012, 4027;
24034, 48071;
28572, 57147;
16059, 32121;
17770, 35543;
4710, 9423;
4300, 8603;
3131, 6265;
503, 1009;
17622, 35247;
15213, 30429;
22462, 44927;
2428, 4859;
2911, 5825;
2464, 4931;
15840, 31683;
26229, 52461;
26010, 52023;
16118, 32239;
10800, 21603;
20358, 40719;
933, 1869;
12114, 24231;
433, 869;
6244, 12491;
888, 1779;
27343, 54689;
13506, 27015;
10739, 21481;
6262, 12527;
19733, 39469;
12144, 24291;
17836, 35675;
20803, 41609;
28936, 57875;
457, 917;
6210, 12423;
28630, 57263;
866, 1735;
20133, 40269;
24453, 48909;
1999, 4001;
419, 841;
29121, 58245;
10118, 20239;
22282, 44567;
27766, 55535;
15612, 31227;
25340, 50683;
3188, 6379;
22293, 44589;
5574, 11151;
25318, 50639;
28957, 57917;
29215, 58433;
1749, 3501;
29042, 58087;
10127, 20257;
4809, 9621;
6681, 13365;
5150, 10303;
47, 97;
9763, 19529;
3827, 7657;
14621, 29245;
19201, 38405;
27037, 54077;
16546, 33095;
21500, 43003;
2224, 4451;
3273, 6549;
20734, 41471;
11653, 23309;
26798, 53599;
8290, 16583;
27496, 54995;
27364, 54731;
26105, 52213;
350, 703;
13313, 26629;
4104, 8211;
22784, 45571;
22624, 45251;
14106, 28215;
332, 667;
14532, 29067;
13473, 26949;
27884, 55771;
18519, 37041;
20834, 41671;
11216, 22435;
9609, 19221;
8256, 16515;
12191, 24385;
7527, 15057;
28947, 57897;
3318, 6639;
27333, 54669;
6752, 13507;
22572, 45147;
480, 963;
16558, 33119;
24824, 49651;
893, 1789;
23488, 46979;
14366, 28735;
17843, 35689;
23195, 46393;
12765, 25533;
15702, 31407;
11680, 23363;
4439, 8881;
16993, 33989;
27877, 55757;
2222, 4447;
2020, 4043;
2256, 4515;
194, 391;
9311, 18625;
16526, 33055;
426, 855;
5016, 10035;
7660, 15323;
16122, 32247;
13987, 27977;
11873, 23749;
7529, 15061;
13880, 27763;
16385, 32773;
21558, 43119;
14427, 28857;
18768, 37539;
16181, 32365;
101, 205;
15527, 31057;
3868, 7739;
11774, 23551;
19141, 38285;
5020, 10043;
1042, 2087;
28346, 56695;
9798, 19599;
22068, 44139;
10086, 20175;
8911, 17825;
28108, 56219;
359, 721;
1389, 2781;
16457, 32917;
13118, 26239;
8929, 17861;
2036, 4075;
10949, 21901;
1241, 2485;
17701, 35405;
29266, 58535;
21389, 42781;
7371, 14745;
17586, 35175;
8907, 17817;
9476, 18955;
12029, 24061;
27797, 55597;
14583, 29169;
15685, 31373;
18736, 37475;
7007, 14017;
16818, 33639;
15367, 30737;
1051, 2105;
8232, 16467;
9541, 19085;
10180, 20363;
11763, 23529;
26835, 53673;
11413, 22829;
11802, 23607;
1373, 2749;
26004, 52011;
26267, 52537;
17265, 34533;
2352, 4707;
17840, 35683;
532, 1067;
26078, 52159;
16335, 32673;
29060, 58123;
28538, 57079;
1863, 3729;
27141, 54285;
26057, 52117;
24370, 48743;
25288, 50579;
9921, 19845;
21526, 43055;
28679, 57361;
16726, 33455;
27445, 54893;
11430, 22863;
8663, 17329;
29090, 58183;
8281, 16565;
44, 91;
24716, 49435;
528, 1059;
9605, 19213;
4612, 9227;
15182, 30367;
13577, 27157;
24895, 49793;
25052, 50107;
7160, 14323;
5822, 11647;
21586, 43175;
22099, 44201;
4808, 9619;
2238, 4479;
25376, 50755;
26384, 52771;
2650, 5303;
233, 469;
18744, 37491;
1846, 3695;
679, 1361;
29717, 59437;
27435, 54873;
2743, 5489;
23402, 46807;
9393, 18789;
1388, 2779;
21511, 43025;
9459, 18921;
3737, 7477;
8343, 16689;
4418, 8839;
20736, 41475;
2937, 5877;
8740, 17483;
12880, 25763;
20985, 41973;
23653, 47309;
13083, 26169;
327, 657;
6554, 13111;
23929, 47861;
27449, 54901;
21074, 42151;
22182, 44367;
7356, 14715;
4468, 8939;
24018, 48039;
15066, 30135;
22602, 45207;
12684, 25371;
25474, 50951;
23840, 47683;
10163, 20329;
12259, 24521;
29967, 59937;
3078, 6159;
21662, 43327;
20366, 40735;
10503, 21009;
9326, 18655;
9906, 19815;
24236, 48475;
26081, 52165;
16519, 33041;
9910, 19823;
1990, 3983;
24126, 48255;
21244, 42491;
7414, 14831;
12440, 24883;
8814, 17631;
619, 1241;
20201, 40405;
15680, 31363;
27446, 54895;
22808, 45619;
16402, 32807;
29044, 58091;
464, 931;
7395, 14793;
1268, 2539;
24104, 48211;
26932, 53867;
25463, 50929;
8297, 16597;
11408, 22819;
11414, 22831;
14021, 28045;
21092, 42187;
1587, 3177;
512, 1027;
23985, 47973;
8630, 17263;
17217, 34437;
22849, 45701;
7434, 14871;
7998, 15999;
21286, 42575;
24150, 48303;
1216, 2435;
17284, 34571;
4959, 9921;
22728, 45459;
7505, 15013;
13912, 27827;
2188, 4379;
1670, 3343;
2437, 4877;
14774, 29551;
11719, 23441;
29460, 58923;
28763, 57529;
15341, 30685;
20021, 40045;
15060, 30123;
17219, 34441;
21760, 43523;
7386, 14775;
4997, 9997;
13453, 26909;
13133, 26269;
2434, 4871;
15881, 31765;
29218, 58439;
15212, 30427;
15101, 30205;
17771, 35545;
834, 1671;
24410, 48823;
1498, 2999;
12064, 24131;
4525, 9053;
28887, 57777;
6423, 12849;
141, 285;
21814, 43631;
29452, 58907;
20296, 40595;
15818, 31639;
15189, 30381;
12145, 24293;
29974, 59951;
17830, 35663;
6444, 12891;
4590, 9183;
17626, 35255;
12011, 24025;
6380, 12763;
4161, 8325;
16491, 32985;
2787, 5577;
584, 1171;
8351, 16705;
23859, 47721;
12570, 25143;
26410, 52823;
926, 1855;
13961, 27925;
822, 1647;
2213, 4429;
25938, 51879;
14907, 29817;
293, 589;
2092, 4187;
6582, 13167;
873, 1749;
29894, 59791;
14593, 29189;
798, 1599;
22426, 44855;
24203, 48409;
9711, 19425;
6923, 13849;
1241, 2485;
396, 795;
7996, 15995;
1135, 2273;
18752, 37507;
20480, 40963;
25818, 51639;
28913, 57829;
23272, 46547;
26552, 53107;
16605, 33213;
22435, 44873;
2528, 5059;
14316, 28635;
9778, 19559;
24082, 48167;
10892, 21787;
13370, 26743;
10125, 20253;
17262, 34527;
22896, 45795;
14572, 29147;
23203, 46409;
1771, 3545;
6141, 12285;
1146, 2295;
1642, 3287;
19814, 39631;
11178, 22359;
27215, 54433;
25789, 51581;
19020, 38043;
29511, 59025;
8912, 17827;
11893, 23789;
12216, 24435;
9870, 19743;
23707, 47417;
2932, 5867;
27099, 54201;
13308, 26619;
29452, 58907;
13620, 27243;
10657, 21317;
12511, 25025;
28166, 56335;
1904, 3811;
657, 1317;
4015, 8033;
12016, 24035;
21265, 42533;
8182, 16367;
4257, 8517;
28413, 56829;
24443, 48889;
21820, 43643;
8314, 16631;
29361, 58725;
29673, 59349;
3484, 6971;
6561, 13125;
5793, 11589;
502, 1007;
24316, 48635;
7033, 14069;
6522, 13047;
5821, 11645;
17424, 34851;
27629, 55261;
18244, 36491;
21796, 43595;
16838, 33679;
5965, 11933;
27112, 54227;
18485, 36973;
1713, 3429;
16984, 33971;
8944, 17891;
7133, 14269;
1971, 3945;
25242, 50487;
4751, 9505;
11544, 23091;
13617, 27237;
20728, 41459;
28641, 57285;
20765, 41533;
66, 135;
27273, 54549;
323, 649;
7381, 14765;
26680, 53363;
13223, 26449;
19718, 39439;
16530, 33063;
20194, 40391;
12614, 25231;
18832, 37667;
19454, 38911;
1473, 2949;
27781, 55565;
13956, 27915;
28242, 56487;
4985, 9973;
21635, 43273;
2083, 4169;
1736, 3475;
18346, 36695;
29300, 58603;
23091, 46185;
6482, 12967;
11472, 22947;
9204, 18411;
2031, 4065;
1628, 3259;
20840, 41683;
20378, 40759;
15391, 30785;
19951, 39905;
11349, 22701;
18385, 36773;
15049, 30101;
5448, 10899;
8321, 16645;
20451, 40905;
11016, 22035;
2153, 4309;
25543, 51089;
551, 1105;
2844, 5691;
26143, 52289;
19729, 39461;
16253, 32509;
1250, 2503;
26468, 52939;
19901, 39805;
16199, 32401;
21078, 42159;
8661, 17325;
6726, 13455;
14682, 29367;
19286, 38575;
28262, 56527;
17952, 35907;
22629, 45261;
169, 341;
10324, 20651;
22243, 44489;
1458, 2919;
2111, 4225;
22619, 45241;
4780, 9563;
3579, 7161;
24250, 48503;
8234, 16471;
3520, 7043;
2174, 4351;
558, 1119;
1252, 2507;
15219, 30441;
13395, 26793;
10789, 21581;
8456, 16915;
1609, 3221;
16382, 32767;
16615, 33233;
13507, 27017;
13146, 26295;
12097, 24197;
504, 1011;
28228, 56459;
5371, 10745;
21300, 42603;
25057, 50117;
848, 1699;
20634, 41271;
2199, 4401;
9011, 18025;
16728, 33459;
15338, 30679;
12390, 24783;
15562, 31127;
22216, 44435;
5441, 10885;
5806, 11615;
31, 65;
9313, 18629;
6974, 13951;
15264, 30531;
22528, 45059;
9465, 18933;
18350, 36703;
13027, 26057;
26292, 52587;
23713, 47429;
12720, 25443;
3375, 6753;
11545, 23093;
11991, 23985;
23320, 46643;
24, 51;
6465, 12933;
25853, 51709;
27922, 55847;
16423, 32849;
15709, 31421;
986, 1975;
10248, 20499;
16687, 33377;
24264, 48531;
848, 1699;
2757, 5517;
20702, 41407;
279, 561;
5022, 10047;
29914, 59831;
16275, 32553;
1423, 2849;
11478, 22959;
18496, 36995;
2927, 5857;
26119, 52241;
1873, 3749;
20032, 40067;
16815, 33633;
29904, 59811;
7378, 14759;
25488, 50979;
2617, 5237;
16387, 32777;
4616, 9235;
12223, 24449;
4468, 8939;
6457, 12917;
8936, 17875;
27602, 55207;
17501, 35005;
12625, 25253;
5483, 10969;
1792, 3587;
4824, 9651;
8557, 17117;
9140, 18283;
25019, 50041;
11331, 22665;
1342, 2687;
15684, 31371;
17984, 35971;
27217, 54437;
2690, 5383;
26737, 53477;
10257, 20517;
24086, 48175;
6602, 13207;
22548, 45099;
26864, 53731;
13150, 26303;
1873, 3749;
2435, 4873;
17455, 34913;
24131, 48265;
9258, 18519;
2447, 4897;
28694, 57391;
18175, 36353;
441, 885;
26862, 53727;
28293, 56589;
26622, 53247;
17733, 35469;
22283, 44569;
20698, 41399;
4664, 9331;
19756, 39515;
15580, 31163;
29461, 58925;
19389, 38781;
28215, 56433;
26148, 52299;
29243, 58489;
1889, 3781;
29488, 58979;
10779, 21561;
25080, 50163;
23995, 47993;
5330, 10663;
29467, 58937;
1415, 2833;
24217, 48437;
6607, 13217;
28316, 56635;
4055, 8113;
29814, 59631;
14360, 28723;
1074, 2151;
12006, 24015;
2142, 4287;
7000, 14003;
7157, 14317;
26225, 52453;
513, 1029;
13505, 27013;
11090, 22183;
2208, 4419;
22519, 45041;
14348, 28699;
25056, 50115;
1308, 2619;
1859, 3721;
27067, 54137;
1189, 2381;
13714, 27431;
24571, 49145;
8866, 17735;
26810, 53623;
12604, 25211;
855, 1713;
11429, 22861;
27900, 55803;
26062, 52127;
7687, 15377;
23747, 47497;
15365, 30733;
5838, 11679;
1738, 3479;
3668, 7339;
27227, 54457;
21239, 42481;
16700, 33403;
25486, 50975;
17638, 35279;
22752, 45507;
543, 1089;
28494, 56991;
25512, 51027;
11993, 23989;
190, 383;
11286, 22575;
21672, 43347;
29205, 58413;
20366, 40735;
25681, 51365;
29487, 58977;
8463, 16929;
566, 1135;
28639, 57281;
16183, 32369;
25894, 51791;
24737, 49477;
27341, 54685;
18721, 37445;
8074, 16151;
20561, 41125;
18788, 37579;
1446, 2895;
15708, 31419;
26614, 53231;
28006, 56015;
7696, 15395;
5905, 11813;
24895, 49793;
8340, 16683;
4266, 8535;
24344, 48691;
23792, 47587;
6259, 12521;
13685, 27373;
25532, 51067;
11573, 23149;
26448, 52899;
1516, 3035;
10315, 20633;
6709, 13421;
2386, 4775;
28714, 57431;
6520, 13043;
21739, 43481;
9711, 19425;
27771, 55545;
24830, 49663;
3121, 6245;
3282, 6567;
28400, 56803;
7302, 14607;
22558, 45119;
22459, 44921;
871, 1745;
1691, 3385;
28562, 57127;
20439, 40881;
17643, 35289;
2556, 5115;
23567, 47137;
6001, 12005;
20519, 41041;
9826, 19655;
8139, 16281;
1977, 3957;
14881, 29765;
28738, 57479;
515, 1033;
7108, 14219;
24357, 48717;
10757, 21517;
97, 197;
3285, 6573;
7678, 15359;
22422, 44847;
19905, 39813;
987, 1977;
21357, 42717;
7180, 14363;
13665, 27333;
1082, 2167;
10707, 21417;
6793, 13589;
7191, 14385;
29646, 59295;
4401, 8805;
24161, 48325;
3576, 7155;
25645, 51293;
29522, 59047;
3711, 7425;
10581, 21165;
301, 605;
791, 1585;
28677, 57357;
9944, 19891;
18599, 37201;
28436, 56875;
1795, 3593;
10192, 20387;
28538, 57079;
11945, 23893;
3466, 6935;
16074, 32151;
6098, 12199;
788, 1579;
26673, 53349;
26209, 52421;
15530, 31063;
1476, 2955;
8599, 17201;
23127, 46257;
351, 705;
10545, 21093;
11098, 22199;
1764, 3531;
2167, 4337;
12010, 24023;
1384, 2771;
589, 1181;
3315, 6633;
8623, 17249;
23396, 46795;
17593, 35189;
2769, 5541;
8689, 17381;
4427, 8857;
4673, 9349;
6853, 13709;
13750, 27503;
855, 1713;
19270, 38543;
1864, 3731;
15249, 30501;
2035, 4073;
5895, 11793;
23553, 47109;
2514, 5031;
11281, 22565;
7282, 14567;
564, 1131;
3578, 7159;
4329, 8661;
15675, 31353;
15704, 31411;
114, 231;
13506, 27015;
1836, 3675;
18766, 37535;
124, 251;
9510, 19023;
20412, 40827;
24750, 49503;
11369, 22741;
1601, 3205;
11746, 23495;
21860, 43723;
2573, 5149;
29562, 59127;
17963, 35929;
29083, 58169;
21360, 42723;
21877, 43757;
7435, 14873;
20680, 41363;
1686, 3375;
14104, 28211;
25456, 50915;
18923, 37849;
161, 325;
22525, 45053;
29085, 58173;
20242, 40487;
23398, 46799;
7496, 14995;
25654, 51311;
26142, 52287;
9981, 19965;
28809, 57621;
3991, 7985;
7881, 15765;
19917, 39837;
1508, 3019;
15722, 31447;
10728, 21459;
21480, 42963;
19823, 39649;
26745, 53493;
190, 383;
4482, 8967;
5083, 10169;
27328, 54659;
29874, 59751;
29096, 58195;
5719, 11441;
20935, 41873;
28274, 56551;
2351, 4705;
3505, 7013;
19759, 39521;
1559, 3121;
6634, 13271;
29886, 59775;
27530, 55063;
21178, 42359;
22048, 44099;
3581, 7165;
6512, 13027;
12904, 25811;
780, 1563;
27767, 55537;
5839, 11681;
14882, 29767;
711, 1425;
1001, 2005;
22146, 44295;
26408, 52819;
15508, 31019;
1061, 2125;
1781, 3565;
72, 147;
15674, 31351;
950, 1903;
27688, 55379;
2657, 5317;
7623, 15249;
15811, 31625;
8739, 17481;
19324, 38651;
8627, 17257;
26422, 52847;
16745, 33493;
26893, 53789;
27667, 55337;
24348, 48699;
5088, 10179;
1383, 2769;
5391, 10785;
15951, 31905;
27408, 54819;
6078, 12159;
13206, 26415;
2643, 5289;
6009, 12021;
19297, 38597;
12113, 24229;
3967, 7937;
27178, 54359;
19191, 38385;
28373, 56749;
9821, 19645;
29839, 59681;
20744, 41491;
13852, 27707;
26707, 53417;
1371, 2745;
8640, 17283;
18742, 37487;
6018, 12039;
19142, 38287;
20976, 41955;
10044, 20091;
15854, 31711;
29001, 58005;
2598, 5199;
29062, 58127;
18399, 36801;
792, 1587;
24094, 48191;
21277, 42557;
7560, 15123;
11070, 22143;
16296, 32595;
1859, 3721;
2743, 5489;
4160, 8323;
348, 699;
1874, 3751;
11500, 23003;
2954, 5911;
15324, 30651;
22291, 44585;
3805, 7613;
24927, 49857;
1145, 2293;
18704, 37411;
1481, 2965;
2576, 5155;
7880, 15763;
18780, 37563;
17244, 34491;
3162, 6327;
24533, 49069;
8113, 16229;
8226, 16455;
20980, 41963;
2425, 4853;
2217, 4437;
13263, 26529;
10857, 21717;
18409, 36821;
28465, 56933;
12015, 24033;
28708, 57419;
1967, 3937;
23099, 46201;
