X, Y, Z
67, 27508, 91506;
97, 4035, 30927;
25, 748, 3498;
33, 2726, 10360;
88, 10567, 47193;
84, 22485, 81571;
32, 27552, 84708;
87, 21347, 79183;
72, 3715, 21517;
81, 10335, 44131;
88, 16226, 64170;
1, 2102, 6312;
35, 21607, 67275;
98, 10649, 51159;
0, 10842, 32530;
20, 8608, 26628;
48, 6598, 24406;
21, 13807, 42307;
32, 18263, 56841;
44, 1607, 8697;
37, 21383, 66891;
6, 20096, 60364;
67, 11641, 43905;
99, 28807, 106027;
74, 3365, 21051;
18, 24483, 74101;
14, 22710, 68526;
95, 20732, 80250;
78, 1024, 15244;
57, 21853, 72061;
79, 25174, 88008;
97, 16441, 68145;
26, 20939, 64173;
13, 2748, 8586;
3, 2423, 7291;
96, 19268, 76240;
44, 2348, 10920;
25, 18496, 56742;
29, 2954, 10548;
51, 4119, 17563;
53, 18976, 62550;
28, 13436, 41880;
21, 19667, 59887;
76, 10785, 43911;
71, 18564, 65778;
27, 15482, 47908;
2, 20717, 62163;
41, 28355, 88431;
28, 25036, 76680;
14, 28228, 85080;
24, 836, 3664;
27, 1188, 5026;
89, 3456, 26214;
63, 25244, 83674;
94, 20377, 78807;
5, 2589, 7821;
92, 7610, 39762;
2, 373, 1131;
77, 2690, 19932;
58, 11741, 41955;
34, 20393, 63495;
36, 5751, 19849;
47, 10727, 36603;
81, 16199, 61723;
66, 11281, 42559;
39, 13694, 44128;
9, 19846, 59704;
30, 12543, 39433;
32, 14281, 44895;
84, 28444, 99448;
74, 5999, 28953;
52, 10912, 38148;
95, 29756, 107322;
44, 21779, 69213;
14, 21641, 65319;
13, 9, 369;
35, 12264, 39246;
79, 20188, 73050;
60, 29963, 97093;
64, 14283, 51045;
32, 9954, 31914;
77, 15907, 59583;
8, 21764, 65424;
24, 973, 4075;
81, 29520, 101686;
56, 29512, 94812;
82, 21716, 78600;
34, 12713, 40455;
78, 19950, 72022;
96, 29152, 105892;
64, 16816, 58644;
7, 3388, 10266;
27, 7817, 24913;
0, 1330, 3994;
84, 3618, 24970;
31, 21082, 65172;
2, 23687, 71073;
24, 9402, 29362;
68, 23175, 78777;
15, 1047, 3595;
64, 16221, 56859;
90, 10409, 47431;
92, 19856, 76500;
19, 21311, 64659;
9, 16151, 48619;
39, 20067, 63247;
56, 15553, 52935;
89, 447, 17187;
72, 25812, 87808;
44, 3327, 13857;
59, 9460, 35346;
77, 1993, 17841;
0, 27463, 82393;
15, 14795, 44839;
1, 29399, 88203;
3, 3188, 9586;
54, 12088, 42100;
70, 1942, 15630;
45, 7018, 25108;
68, 14186, 51810;
4, 28672, 86052;
0, 5412, 16240;
52, 1154, 8874;
74, 10072, 41172;
87, 24593, 88921;
67, 28110, 93312;
28, 15689, 48639;
27, 6578, 21196;
34, 1388, 6480;
63, 479, 9379;
18, 1724, 5824;
45, 11357, 38125;
73, 27176, 92190;
53, 4391, 18795;
50, 11307, 38925;
97, 1282, 22668;
59, 7410, 29196;
41, 9388, 31530;
13, 11197, 33933;
95, 1921, 23817;
72, 391, 11545;
65, 25380, 84594;
97, 12009, 54849;
88, 2396, 22680;
24, 28988, 88120;
83, 13693, 54861;
65, 21246, 72192;
21, 15368, 46990;
94, 11126, 51054;
7, 15189, 45669;
13, 16795, 50727;
13, 11168, 33846;
22, 5683, 18021;
66, 3970, 20626;
68, 6456, 28620;
79, 29810, 101916;
4, 20095, 60321;
4, 23691, 71109;
73, 9628, 39546;
33, 96, 2470;
78, 2304, 19084;
36, 16685, 52651;
85, 26724, 94626;
34, 4735, 16521;
38, 17003, 53901;
71, 1239, 13803;
40, 29058, 90378;
13, 20411, 61575;
89, 16395, 65031;
56, 7214, 27918;
39, 1980, 8986;
8, 16178, 48666;
13, 24641, 74265;
63, 2138, 14356;
28, 8489, 27039;
54, 15556, 52504;
80, 15103, 58113;
53, 17783, 58971;
19, 11191, 34299;
81, 1434, 17428;
75, 4685, 25309;
90, 11061, 49387;
33, 9640, 31102;
53, 24204, 78234;
4, 4804, 14448;
63, 17721, 61105;
56, 1552, 10932;
54, 11464, 40228;
45, 25621, 80917;
24, 7594, 23938;
31, 41, 2049;
34, 1586, 7074;
35, 2435, 9759;
75, 5860, 28834;
9, 21951, 66019;
13, 13295, 40227;
59, 4708, 21090;
19, 8184, 25278;
30, 7125, 23179;
43, 17433, 56001;
96, 6821, 38899;
46, 14634, 48138;
6, 462, 1462;
82, 271, 14265;
91, 6979, 37503;
47, 18545, 60057;
84, 18932, 70912;
14, 690, 2466;
25, 2770, 9564;
81, 15867, 60727;
60, 29508, 95728;
71, 28920, 96846;
89, 19962, 75732;
87, 2215, 21787;
34, 26064, 80508;
22, 24684, 75024;
39, 709, 5173;
74, 23177, 80487;
12, 4428, 13576;
48, 18588, 60376;
26, 23314, 71298;
62, 15721, 54855;
24, 6850, 21706;
25, 11226, 34932;
19, 26933, 81525;
92, 532, 18528;
12, 25870, 77902;
58, 22764, 75024;
48, 25685, 81667;
93, 16074, 65524;
44, 26978, 84810;
48, 1933, 10411;
91, 24317, 89517;
54, 16351, 54889;
96, 24515, 91981;
63, 17641, 60865;
12, 3276, 10120;
74, 28698, 97050;
83, 14218, 56436;
24, 12324, 38128;
34, 25332, 78312;
72, 13128, 49756;
69, 24548, 83170;
63, 1748, 13186;
38, 2238, 9606;
50, 20458, 66378;
30, 24659, 75781;
74, 386, 12114;
94, 6149, 36123;
35, 13234, 42156;
13, 16683, 50391;
64, 46, 8334;
20, 11703, 35913;
66, 2059, 14893;
62, 17430, 59982;
22, 1736, 6180;
33, 19031, 59275;
20, 5774, 18126;
36, 27792, 85972;
34, 2487, 9777;
38, 637, 4803;
74, 2142, 17382;
55, 22635, 73959;
7, 2645, 8037;
70, 2596, 17592;
73, 13453, 51021;
15, 26700, 80554;
42, 881, 6175;
6, 20251, 60829;
87, 24772, 89458;
59, 14380, 50106;
24, 9676, 30184;
31, 1446, 6264;
81, 1135, 16531;
79, 26584, 92238;
10, 25757, 77475;
80, 11482, 47250;
20, 15678, 47838;
51, 13169, 44713;
12, 21006, 63310;
57, 1332, 10498;
63, 29941, 97765;
54, 23533, 76435;
50, 19388, 63168;
74, 5698, 28050;
0, 2509, 7531;
72, 24469, 83779;
90, 522, 17770;
58, 3880, 18372;
38, 26881, 83535;
4, 645, 1971;
20, 3727, 11985;
8, 493, 1611;
52, 14466, 48810;
14, 10031, 30489;
12, 1923, 6061;
45, 11755, 39319;
77, 23412, 82098;
14, 424, 1668;
27, 18966, 58360;
48, 15475, 51037;
7, 18095, 54387;
63, 23065, 77137;
71, 22809, 78513;
25, 29990, 91224;
48, 9534, 33214;
73, 16735, 60867;
83, 29331, 101775;
86, 25741, 92019;
80, 19683, 71853;
8, 15723, 47301;
20, 8782, 27150;
1, 4546, 13644;
92, 657, 18903;
79, 26579, 92223;
6, 25480, 76516;
60, 3829, 18691;
16, 3825, 11991;
62, 7039, 28809;
44, 7538, 26490;
59, 23016, 76014;
42, 8926, 30310;
88, 2045, 21627;
44, 28596, 89664;
90, 3187, 25765;
77, 3048, 21006;
61, 21486, 71904;
7, 20198, 60696;
45, 23809, 75481;
28, 14549, 45219;
97, 12711, 56955;
43, 28952, 90558;
98, 28433, 104511;
44, 3611, 14709;
28, 27537, 84183;
72, 2636, 18280;
6, 29622, 88942;
93, 2663, 25291;
48, 25273, 80431;
70, 22775, 78129;
80, 6679, 32841;
34, 15130, 47706;
2, 7296, 21900;
34, 644, 4248;
77, 20464, 73254;
8, 198, 726;
49, 11036, 37914;
17, 16336, 49590;
94, 21007, 80697;
79, 9141, 39909;
56, 26133, 84675;
79, 22959, 81363;
89, 3288, 25710;
81, 14435, 56431;
49, 29385, 92961;
54, 54, 5998;
64, 19649, 67143;
9, 21503, 64675;
53, 7400, 27822;
21, 12591, 38659;
81, 16087, 61387;
1, 4334, 13008;
49, 2505, 12321;
33, 4280, 15022;
32, 16695, 52137;
20, 25416, 77052;
72, 1444, 14704;
47, 14756, 48690;
16, 917, 3267;
57, 15705, 53617;
86, 550, 16446;
43, 8, 3726;
35, 649, 4401;
2, 1057, 3183;
75, 12016, 47302;
7, 17135, 51507;
57, 4605, 20317;
78, 21461, 76555;
42, 11272, 37348;
50, 6359, 24081;
13, 22992, 69318;
72, 5211, 26005;
67, 28054, 93144;
14, 19505, 58911;
11, 18999, 57243;
50, 24018, 77058;
89, 14744, 60078;
78, 10213, 42811;
63, 582, 9688;
90, 11528, 50788;
25, 94, 1536;
29, 5068, 16890;
17, 17835, 54087;
56, 26625, 86151;
73, 1295, 14547;
21, 309, 1813;
47, 19748, 63666;
78, 12919, 50929;
97, 22050, 84972;
40, 10081, 33447;
14, 26372, 79512;
95, 4693, 32133;
53, 5606, 22440;
55, 4102, 18360;
5, 26546, 79692;
89, 25658, 92820;
25, 4859, 15831;
74, 29647, 99897;
93, 27177, 98833;
55, 8188, 30618;
52, 12503, 42921;
53, 26330, 84612;
67, 24697, 83073;
59, 27939, 90783;
18, 8258, 25426;
78, 21817, 77623;
78, 29765, 101467;
65, 1898, 14148;
2, 26586, 79770;
29, 20338, 62700;
66, 14147, 51157;
86, 29505, 103311;
33, 15503, 48691;
59, 9983, 36915;
65, 9151, 35907;
70, 590, 11574;
57, 10792, 38878;
15, 23247, 70195;
50, 27928, 88788;
7, 10215, 30747;
86, 3004, 23808;
4, 21443, 64365;
41, 8257, 28137;
43, 7577, 26433;
64, 21562, 72882;
45, 28977, 90985;
64, 5186, 23754;
46, 22437, 71547;
67, 9954, 38844;
55, 25957, 83925;
26, 10933, 34155;
37, 18813, 59181;
58, 16329, 55719;
63, 25115, 83287;
58, 24649, 80679;
57, 1307, 10423;
85, 11353, 48513;
53, 5382, 21768;
20, 11586, 35562;
54, 26987, 86797;
95, 21455, 82419;
70, 29772, 99120;
37, 13815, 44187;
40, 17132, 54600;
49, 20411, 66039;
23, 23303, 70971;
86, 19282, 72642;
34, 25619, 79173;
33, 5252, 17938;
76, 150, 12006;
69, 15188, 55090;
49, 12248, 41550;
71, 27105, 91401;
82, 2522, 21018;
20, 29070, 88014;
93, 13159, 56779;
52, 13153, 44871;
33, 19402, 60388;
36, 26537, 82207;
45, 6816, 24502;
62, 2276, 14520;
50, 10223, 35673;
38, 26079, 81129;
10, 29848, 89748;
21, 7967, 24787;
26, 729, 3543;
74, 4992, 25932;
32, 18453, 57411;
29, 28, 1770;
70, 27608, 92628;
55, 22382, 73200;
33, 742, 4408;
89, 5048, 30990;
81, 24243, 85855;
24, 2209, 7783;
12, 792, 2668;
93, 755, 19567;
13, 24613, 74181;
59, 28324, 91938;
92, 20882, 79578;
25, 10851, 33807;
43, 27227, 85383;
80, 4630, 26694;
94, 347, 18717;
73, 2466, 18060;
94, 10615, 49521;
27, 23850, 73012;
50, 26622, 84870;
63, 27035, 89047;
23, 2064, 7254;
23, 3112, 10398;
70, 10605, 41619;
24, 5953, 19015;
80, 2991, 21777;
71, 28137, 94497;
78, 1419, 16429;
83, 21784, 79134;
12, 340, 1312;
45, 29790, 93424;
66, 8896, 35404;
88, 18890, 72162;
45, 1215, 7699;
82, 5386, 29610;
31, 26537, 81537;
27, 2211, 8095;
91, 5864, 34158;
60, 1108, 10528;
51, 12182, 41752;
38, 13318, 42846;
42, 9879, 33169;
80, 2758, 21078;
4, 20234, 60738;
66, 4614, 22558;
76, 4300, 24456;
76, 2976, 20484;
17, 26686, 80640;
91, 6349, 35613;
80, 4937, 27615;
54, 9558, 34510;
1, 3999, 12003;
31, 27945, 85761;
4, 20035, 60141;
51, 27645, 88141;
94, 16459, 67053;
51, 28729, 91393;
80, 8421, 38067;
9, 21778, 65500;
87, 8344, 40174;
42, 10228, 34216;
37, 21964, 68634;
61, 15652, 54402;
59, 5773, 24285;
92, 627, 18813;
43, 8076, 27930;
86, 18517, 70347;
95, 11366, 52152;
97, 10338, 49836;
11, 25897, 77937;
24, 4829, 15643;
48, 17685, 57667;
7, 16804, 50514;
1, 24223, 72675;
61, 12679, 45483;
79, 8380, 37626;
11, 12716, 38394;
51, 347, 6247;
36, 561, 4279;
74, 12595, 48741;
9, 17940, 53986;
33, 15552, 48838;
73, 19536, 69270;
86, 16008, 62820;
39, 29769, 92353;
47, 1699, 9519;
91, 12650, 54516;
68, 23418, 79506;
86, 29197, 102387;
2, 14287, 42873;
90, 28059, 100381;
75, 10750, 43504;
41, 7668, 26370;
67, 14466, 52380;
21, 26641, 80809;
25, 28602, 87060;
16, 14312, 43452;
42, 1981, 9475;
29, 5007, 16707;
89, 1373, 19965;
7, 27045, 81237;
5, 20920, 62814;
80, 7918, 36558;
51, 21764, 70498;
68, 7997, 33243;
3, 844, 2554;
31, 103, 2235;
43, 19174, 61224;
29, 12181, 38229;
25, 5192, 16830;
84, 4106, 26434;
42, 15786, 50890;
27, 21734, 66664;
56, 26140, 84696;
45, 5210, 19684;
61, 18683, 63495;
16, 13, 555;
4, 22897, 68727;
99, 18095, 73891;
64, 14139, 50613;
30, 15100, 47104;
83, 24751, 88035;
36, 18883, 59245;
93, 17917, 71053;
73, 2087, 16923;
20, 8629, 26691;
77, 12133, 48261;
98, 14985, 64167;
17, 935, 3387;
12, 29269, 88099;
65, 22777, 76785;
62, 18012, 61728;
13, 22490, 67812;
53, 9428, 33906;
8, 10230, 30822;
52, 15270, 51222;
46, 2833, 12735;
74, 9327, 38937;
37, 2358, 9816;
6, 4554, 13738;
38, 29185, 90447;
40, 25041, 78327;
33, 3946, 14020;
76, 14817, 56007;
30, 21379, 65941;
41, 3998, 15360;
77, 2691, 19935;
63, 17207, 59563;
80, 9796, 42192;
83, 12012, 49818;
16, 22026, 66594;
34, 20429, 63603;
25, 10566, 32952;
5, 27588, 82818;
82, 15305, 59367;
9, 22741, 68389;
84, 19549, 72763;
63, 18853, 64501;
98, 3424, 29484;
61, 17209, 59073;
6, 26802, 80482;
97, 8193, 43401;
57, 15058, 51676;
9, 17429, 52453;
92, 18755, 73197;
83, 26302, 92688;
9, 773, 2485;
99, 5432, 35902;
44, 865, 6471;
92, 21174, 80454;
71, 15925, 57861;
96, 1143, 21865;
8, 7985, 24087;
55, 16952, 56910;
73, 6801, 31065;
16, 4634, 14418;
53, 4140, 18042;
60, 1109, 10531;
61, 20636, 69354;
15, 381, 1597;
61, 2159, 13923;
69, 12116, 45874;
28, 18877, 58203;
15, 24944, 75286;
5, 23339, 70071;
74, 26958, 91830;
16, 22000, 66516;
39, 1735, 8251;
36, 20806, 65014;
44, 10386, 35034;
3, 15427, 46303;
78, 5643, 29101;
75, 136, 11662;
63, 26162, 86428;
57, 7002, 27508;
10, 26615, 80049;
63, 21535, 72547;
76, 24501, 85059;
62, 6635, 27597;
85, 15868, 62058;
50, 18028, 59088;
84, 13203, 53725;
81, 26434, 92428;
51, 18109, 59533;
26, 7524, 23928;
79, 19900, 72186;
50, 3007, 14025;
22, 29332, 88968;
12, 6432, 19588;
70, 9233, 37503;
70, 2387, 16965;
89, 6155, 34311;
42, 12685, 41587;
33, 17129, 53569;
77, 19463, 70251;
26, 26724, 81528;
81, 12012, 49162;
41, 10638, 35280;
43, 27253, 85461;
20, 13330, 40794;
5, 4690, 14124;
99, 397, 20797;
92, 13901, 58635;
33, 2573, 9901;
32, 20010, 62082;
60, 25897, 84895;
98, 7377, 41343;
29, 26178, 80220;
70, 20143, 70233;
27, 6137, 19873;
63, 22361, 75025;
57, 21041, 69625;
36, 21106, 65914;
94, 14149, 60123;
28, 27600, 84372;
69, 2077, 15757;
28, 4826, 16050;
69, 23709, 80653;
23, 2052, 7218;
35, 18319, 57411;
7, 15519, 46659;
9, 20355, 61231;
62, 27674, 90714;
41, 23331, 73359;
87, 14413, 58381;
31, 4588, 15690;
18, 18216, 55300;
39, 8426, 28324;
50, 17096, 56292;
43, 15554, 50364;
82, 2970, 22362;
35, 1270, 6264;
53, 21954, 71484;
45, 11365, 38149;
85, 13758, 55728;
91, 2833, 25065;
37, 24646, 76680;
83, 2037, 19893;
63, 8567, 33643;
14, 13111, 39729;
2, 20273, 60831;
48, 22474, 72034;
28, 15038, 46686;
8, 11799, 35529;
90, 26036, 94312;
15, 3597, 11245;
59, 2284, 13818;
57, 24982, 81448;
67, 26067, 87183;
2, 1820, 5472;
69, 18737, 65737;
10, 15692, 47280;
22, 2281, 7815;
36, 1769, 7903;
47, 1536, 9030;
76, 24324, 84528;
81, 18466, 68524;
67, 1179, 12519;
24, 25953, 79015;
39, 1856, 8614;
90, 29951, 106057;
62, 29484, 96144;
37, 2974, 11664;
52, 23988, 77376;
58, 8661, 32715;
13, 458, 1716;
83, 13526, 54360;
35, 1478, 6888;
99, 23118, 88960;
48, 20071, 64825;
16, 19341, 58539;
94, 788, 20040;
97, 11239, 52539;
36, 10088, 32860;
22, 3674, 11994;
16, 28142, 84942;
17, 2369, 7689;
26, 10281, 32199;
2, 4199, 12609;
75, 680, 13294;
78, 15504, 58684;
69, 9591, 38299;
82, 2549, 21099;
55, 16393, 55233;
94, 19518, 76230;
56, 27157, 87747;
48, 934, 7414;
81, 703, 15235;
87, 22345, 82177;
62, 17208, 59316;
18, 4337, 13663;
96, 22440, 85756;
35, 25553, 79113;
4, 23819, 71493;
28, 1937, 7383;
23, 25226, 76740;
79, 15564, 59178;
55, 28460, 91434;
4, 28118, 84390;
97, 1645, 23757;
77, 10881, 44505;
87, 14637, 59053;
9, 2082, 6412;
52, 18971, 62325;
49, 1504, 9318;
38, 20244, 63624;
24, 23661, 72139;
11, 28151, 84699;
40, 23273, 73023;
87, 13787, 56503;
70, 21746, 75042;
0, 1107, 3325;
81, 2080, 19366;
79, 20465, 73881;
4, 6592, 19812;
62, 1752, 12948;
38, 5343, 18921;
59, 6582, 26712;
42, 26442, 82858;
64, 14882, 52842;
53, 7172, 27138;
19, 13827, 42207;
4, 29720, 89196;
64, 3682, 19242;
28, 28031, 85665;
52, 19104, 62724;
27, 12611, 39295;
49, 650, 6756;
64, 11493, 42675;
72, 11468, 44776;
18, 23293, 70531;
94, 14548, 61320;
79, 2544, 20118;
81, 23993, 85105;
75, 22790, 79624;
16, 15500, 47016;
98, 4844, 33744;
82, 22285, 80307;
34, 28472, 87732;
4, 19057, 57207;
27, 1068, 4666;
74, 10082, 41202;
89, 15868, 63450;
91, 2888, 25230;
44, 20051, 64029;
90, 24263, 88993;
31, 4819, 16383;
40, 23944, 75036;
23, 12555, 38727;
51, 19261, 62989;
84, 2254, 20878;
13, 1199, 3939;
79, 3218, 22140;
26, 1338, 5370;
6, 998, 3070;
14, 26540, 80016;
34, 12360, 39396;
11, 19498, 58740;
87, 15205, 60757;
49, 16771, 55119;
37, 14434, 46044;
46, 13033, 43335;
9, 13963, 42055;
56, 18861, 62859;
65, 18026, 62532;
61, 7242, 29172;
29, 16618, 51540;
67, 20133, 69381;
30, 2492, 9280;
80, 1939, 18621;
96, 20730, 80626;
23, 24476, 74490;
71, 6154, 28548;
15, 11519, 35011;
41, 2198, 9960;
24, 20725, 63331;
23, 5593, 17841;
44, 27194, 85458;
37, 20332, 63738;
76, 4298, 24450;
31, 12035, 38031;
91, 2488, 24030;
50, 24481, 78447;
33, 19301, 60085;
14, 24371, 73509;
55, 6431, 25347;
96, 18987, 75397;
31, 24520, 75486;
31, 2668, 9930;
64, 12777, 46527;
79, 28006, 96504;
55, 9254, 33816;
47, 25986, 82380;
11, 14787, 44607;
79, 1424, 16758;
1, 1335, 4011;
12, 11934, 36094;
43, 5408, 19926;
71, 22333, 77085;
36, 13480, 43036;
91, 13759, 57843;
29, 26855, 82251;
11, 19443, 58575;
13, 18872, 56958;
7, 13620, 40962;
55, 14064, 48246;
53, 1678, 10656;
91, 22941, 85389;
19, 1267, 4527;
32, 19083, 59301;
84, 27085, 95371;
46, 525, 5811;
64, 23813, 79635;
16, 29945, 90351;
64, 11780, 43536;
79, 757, 14757;
89, 2599, 23643;
95, 6641, 37977;
31, 20888, 64590;
85, 13045, 53589;
85, 6699, 34551;
14, 3101, 9699;
23, 22918, 69816;
20, 17378, 52938;
85, 1365, 18549;
51, 14746, 49444;
46, 25053, 79395;
29, 22338, 68700;
43, 9727, 32883;
92, 10364, 48024;
17, 2319, 7539;
3, 25300, 75922;
0, 11573, 34723;
75, 17223, 62923;
26, 27235, 83061;
36, 25862, 80182;
23, 3865, 12657;
21, 71, 1099;
38, 2710, 11022;
37, 27005, 83757;
51, 24944, 80038;
30, 6137, 20215;
47, 15414, 50664;
42, 23953, 75391;
5, 18771, 56367;
15, 11696, 35542;
34, 261, 3099;
91, 13517, 57117;
52, 17327, 57393;
81, 28657, 99097;
82, 14748, 57696;
30, 23923, 73573;
7, 15814, 47544;
48, 11014, 37654;
24, 20998, 64150;
10, 1271, 4017;
95, 2172, 24570;
64, 27311, 90129;
45, 26144, 82486;
86, 11391, 48969;
2, 23242, 69738;
87, 365, 16237;
36, 22576, 70324;
32, 3433, 12351;
1, 18014, 54048;
80, 7925, 36579;
37, 347, 3783;
71, 19909, 69813;
59, 9209, 34593;
22, 22739, 69189;
58, 1773, 12051;
53, 1238, 9336;
24, 29184, 88708;
31, 10948, 34770;
54, 24805, 80251;
69, 3990, 21496;
22, 16940, 51792;
97, 26955, 99687;
21, 1350, 4936;
89, 13615, 56691;
3, 522, 1588;
1, 17245, 51741;
73, 27768, 93966;
69, 7043, 30655;
62, 4988, 22656;
99, 7909, 43333;
1, 26916, 80754;
47, 2981, 13365;
41, 13621, 44229;
4, 17729, 53223;
28, 16844, 52104;
74, 1629, 15843;
82, 15169, 58959;
96, 24515, 91981;
74, 18256, 65724;
35, 10408, 33678;
15, 6011, 18487;
60, 17457, 59575;
92, 1402, 21138;
11, 24629, 74133;
35, 12821, 40917;
20, 4421, 14067;
59, 3427, 17247;
51, 28649, 91153;
20, 4627, 14685;
42, 6957, 24403;
81, 12828, 51610;
53, 17500, 58122;
0, 21968, 65908;
85, 10252, 45210;
96, 15622, 65302;
14, 6234, 19098;
23, 1608, 5886;
28, 1863, 7161;
9, 5226, 15844;
23, 26980, 82002;
28, 1117, 4923;
21, 14329, 43873;
58, 28962, 93618;
94, 15404, 63888;
32, 10082, 32298;
2, 400, 1212;
32, 28446, 87390;
40, 12572, 40920;
57, 115, 6847;
63, 1070, 11152;
33, 28128, 86566;
45, 26831, 84547;
16, 411, 1749;
5, 15161, 45537;
56, 16640, 56196;
69, 14487, 52987;
24, 14251, 43909;
93, 3851, 28855;
36, 12457, 39967;
87, 12021, 51205;
13, 26602, 80148;
23, 16755, 51327;
89, 18970, 72756;
69, 26660, 89506;
38, 21120, 66252;
84, 10802, 46522;
51, 38, 5320;
21, 12943, 39715;
79, 9786, 41844;
48, 17278, 56446;
81, 7092, 34402;
26, 854, 3918;
3, 3641, 10945;
17, 1666, 5580;
15, 1807, 5875;
40, 15053, 48363;
31, 6771, 22239;
74, 6109, 29283;
72, 10327, 41353;
84, 14588, 57880;
21, 768, 3190;
56, 17439, 58593;
29, 11807, 37107;
41, 16928, 54150;
62, 1374, 11814;
33, 19535, 60787;
44, 21453, 68235;
74, 13097, 50247;
45, 29437, 92365;
0, 615, 1849;
34, 6190, 20886;
73, 1595, 15447;
86, 22980, 83736;
46, 13782, 45582;
21, 799, 3283;
38, 10029, 32979;
88, 18043, 69621;
84, 28669, 100123;
63, 17940, 61762;
14, 6156, 18864;
51, 14478, 48640;
99, 179, 20143;
25, 11413, 35493;
68, 26009, 87279;
98, 12225, 55887;
71, 23233, 79785;
44, 23740, 75096;
16, 27591, 83289;
46, 5286, 20094;
88, 16486, 64950;
52, 26552, 85068;
22, 27198, 82566;
50, 28968, 91908;
24, 16340, 50176;
28, 10829, 34059;
87, 26843, 95671;
92, 980, 19872;
39, 2690, 11116;
52, 2082, 11658;
37, 27693, 85821;
6, 25163, 75565;
85, 23448, 84798;
83, 13874, 55404;
