,X,Y
112, 3565, 7133
113, 25191, 50385
114, 119, 241
115, 18747, 37497
116, 26050, 52103
117, 19620, 39243
118, 16334, 32671
119, 5968, 11939
120, 17524, 35051
121, 3577, 7157
122, 15046, 30095
123, 25531, 51065
124, 14458, 28919
125, 29272, 58547
126, 26530, 53063
127, 2134, 4271
128, 2581, 5165
129, 435, 873
130, 11667, 23337
131, 29160, 58323
132, 26814, 53631
133, 9642, 19287
134, 976, 1955
135, 2527, 5057
136, 3823, 7649
137, 21094, 42191
138, 1768, 3539
139, 9244, 18491
140, 13824, 27651
141, 14021, 28045
142, 807, 1617
143, 29296, 58595
144, 26726, 53455
145, 14263, 28529
146, 23640, 47283
147, 1062, 2127
148, 9047, 18097
149, 15080, 30163
150, 10747, 21497
151, 15328, 30659
152, 10113, 20229
153, 1183, 2369
154, 16759, 33521
155, 12743, 25489
156, 16891, 33785
157, 11494, 22991
158, 7361, 14725
159, 29133, 58269
160, 8572, 17147
161, 28651, 57305
162, 28254, 56511
163, 28470, 56943
164, 3019, 6041
165, 23974, 47951
166, 8821, 17645
167, 20822, 41647
168, 1910, 3823
169, 11452, 22907
170, 248, 499
171, 2156, 4315
172, 19911, 39825
173, 13475, 26953
174, 6436, 12875
175, 719, 1441
176, 6388, 12779
177, 21255, 42513
178, 3447, 6897
179, 18840, 37683
180, 8854, 17711
181, 16493, 32989
182, 14755, 29513
183, 11841, 23685
184, 26204, 52411
185, 6167, 12337
186, 24816, 49635
187, 26556, 53115
188, 2001, 4005
189, 5927, 11857
190, 214, 431
191, 24551, 49105
192, 9083, 18169
193, 22279, 44561
194, 1674, 3351
195, 24846, 49695
196, 17014, 34031
197, 1799, 3601
198, 26665, 53333
199, 15537, 31077
200, 2560, 5123
201, 26952, 53907
202, 15875, 31753
203, 20360, 40723
204, 86, 175
205, 5850, 11703
206, 20522, 41047
207, 1733, 3469
208, 19455, 38913
209, 20257, 40517
210, 25468, 50939
211, 19097, 38197
212, 28775, 57553
213, 22141, 44285
214, 8940, 17883
215, 29177, 58357
216, 5743, 11489
217, 10281, 20565
218, 6616, 13235
219, 9122, 18247
220, 12147, 24297
221, 2612, 5227
222, 10391, 20785
223, 18523, 37049
224, 9132, 18267
225, 1695, 3393
226, 10065, 20133
227, 29306, 58615
228, 11175, 22353
229, 25879, 51761
230, 11027, 22057
231, 24233, 48469
232, 24053, 48109
233, 20947, 41897
234, 8482, 16967
235, 29162, 58327
236, 17701, 35405
237, 13744, 27491
238, 13456, 26915
239, 22745, 45493
240, 4591, 9185
241, 6859, 13721
242, 12814, 25631
243, 11313, 22629
244, 15794, 31591
245, 2654, 5311
246, 24065, 48133
247, 16018, 32039
248, 12577, 25157
249, 26783, 53569
250, 28888, 57779
251, 594, 1191
252, 17208, 34419
253, 18405, 36813
254, 11676, 23355
255, 24497, 48997
256, 9334, 18671
257, 477, 957
258, 18120, 36243
259, 17025, 34053
260, 2630, 5263
261, 20252, 40507
262, 1372, 2747
263, 2245, 4493
264, 11966, 23935
265, 1061, 2125
266, 26157, 52317
267, 12489, 24981
268, 859, 1721
269, 2110, 4223
270, 8575, 17153
271, 1940, 3883
272, 24364, 48731
273, 926, 1855
274, 20693, 41389
275, 1897, 3797
276, 24415, 48833
277, 2089, 4181
278, 9992, 19987
279, 2660, 5323
280, 5081, 10165
281, 24896, 49795
282, 28311, 56625
283, 26979, 53961
284, 17978, 35959
285, 26354, 52711
286, 16958, 33919
287, 3698, 7399
288, 3136, 6275
289, 13703, 27409
290, 13258, 26519
291, 25643, 51289
292, 17723, 35449
293, 12383, 24769
294, 21803, 43609
295, 16526, 33055
296, 3009, 6021
297, 29190, 58383
298, 22475, 44953
299, 19502, 39007
300, 28578, 57159
301, 28251, 56505
302, 13854, 27711
303, 21884, 43771
304, 3102, 6207
305, 2754, 5511
306, 7035, 14073
307, 26952, 53907
308, 20054, 40111
309, 25782, 51567
310, 2298, 4599
311, 21637, 43277
312, 1, 5
313, 28115, 56233
314, 8126, 16255
315, 29517, 59037
316, 27232, 54467
317, 26323, 52649
318, 26532, 53067
319, 28965, 57933
320, 9588, 19179
321, 726, 1455
322, 19453, 38909
323, 24193, 48389
324, 26478, 52959
325, 2088, 4179
326, 15529, 31061
327, 16267, 32537
328, 26727, 53457
329, 24894, 49791
330, 17572, 35147
331, 752, 1507
332, 11857, 23717
333, 7361, 14725
334, 21910, 43823
335, 14619, 29241
336, 21806, 43615
337, 6910, 13823
338, 29093, 58189
339, 21207, 42417
340, 10112, 20227
341, 2493, 4989
342, 10126, 20255
343, 4335, 8673
344, 6912, 13827
345, 15905, 31813
346, 5364, 10731
347, 840, 1683
348, 1426, 2855
349, 26063, 52129
350, 25336, 50675
351, 22610, 45223
352, 7801, 15605
353, 21330, 42663
354, 28937, 57877
355, 11402, 22807
356, 8135, 16273
357, 27071, 54145
358, 8701, 17405
359, 29508, 59019
360, 7192, 14387
361, 27540, 55083
362, 2609, 5221
363, 23719, 47441
364, 23680, 47363
365, 12518, 25039
366, 9998, 19999
367, 23801, 47605
368, 23234, 46471
369, 2236, 4475
370, 14077, 28157
371, 14621, 29245
372, 11203, 22409
373, 18870, 37743
374, 11101, 22205
375, 15449, 30901
376, 28222, 56447
377, 22002, 44007
378, 25314, 50631
379, 1581, 3165
380, 4536, 9075
381, 5679, 11361
382, 15711, 31425
383, 18561, 37125
384, 2487, 4977
385, 12339, 24681
386, 2199, 4401
387, 15695, 31393
388, 16687, 33377
389, 1851, 3705
390, 12113, 24229
391, 2065, 4133
392, 25149, 50301
393, 2466, 4935
394, 24234, 48471
395, 5579, 11161
396, 17943, 35889
397, 26387, 52777
398, 5551, 11105
399, 8092, 16187
400, 8516, 17035
401, 23538, 47079
402, 21291, 42585
403, 1314, 2631
404, 16392, 32787
405, 5608, 11219
406, 21950, 43903
407, 4684, 9371
408, 26403, 52809
409, 3341, 6685
410, 8751, 17505
411, 12691, 25385
412, 11451, 22905
413, 15932, 31867
414, 17411, 34825
415, 1291, 2585
416, 23958, 47919
417, 19313, 38629
418, 1823, 3649
419, 29654, 59311
420, 17036, 34075
421, 1605, 3213
422, 21194, 42391
423, 13067, 26137
424, 23100, 46203
425, 23742, 47487
426, 15654, 31311
427, 13205, 26413
428, 23295, 46593
429, 3984, 7971
430, 20641, 41285
431, 5006, 10015
432, 4378, 8759
433, 1593, 3189
434, 12759, 25521
435, 5102, 10207
436, 27960, 55923
437, 29596, 59195
438, 14042, 28087
439, 591, 1185
440, 22295, 44593
441, 3900, 7803
442, 28548, 57099
443, 28659, 57321
444, 6273, 12549
445, 14395, 28793
446, 2060, 4123
447, 23047, 46097
448, 29822, 59647
449, 13779, 27561
450, 14808, 29619
451, 10025, 20053
452, 16072, 32147
453, 13861, 27725
454, 16018, 32039
455, 7721, 15445
456, 1919, 3841
457, 6945, 13893
458, 1102, 2207
459, 14860, 29723
460, 12062, 24127
461, 3749, 7501
462, 19211, 38425
463, 2599, 5201
464, 382, 767
465, 8681, 17365
466, 17064, 34131
467, 13962, 27927
468, 24633, 49269
469, 1770, 3543
470, 8920, 17843
471, 12266, 24535
472, 29570, 59143
473, 23621, 47245
474, 27529, 55061
475, 29827, 59657
476, 15091, 30185
477, 29303, 58609
478, 24226, 48455
479, 2158, 4319
480, 3287, 6577
481, 21539, 43081
482, 13019, 26041
483, 8784, 17571
484, 29897, 59797
485, 4035, 8073
486, 26833, 53669
487, 1779, 3561
488, 20844, 41691
489, 9154, 18311
490, 298, 599
491, 8505, 17013
492, 1325, 2653
493, 23706, 47415
494, 15381, 30765
495, 23933, 47869
496, 614, 1231
497, 24122, 48247
498, 1046, 2095
499, 12797, 25597
500, 27125, 54253
501, 23722, 47447
502, 12769, 25541
503, 29349, 58701
504, 21964, 43931
505, 18417, 36837
506, 15077, 30157
507, 29005, 58013
508, 7673, 15349
509, 28471, 56945
510, 24811, 49625
511, 23031, 46065
512, 18697, 37397
513, 24359, 48721
514, 23807, 47617
515, 9297, 18597
516, 18297, 36597
517, 2663, 5329
518, 2990, 5983
519, 16002, 32007
520, 877, 1757
521, 13419, 26841
522, 6752, 13507
523, 21794, 43591
524, 6308, 12619
525, 1462, 2927
526, 7913, 15829
527, 23690, 47383
528, 18604, 37211
529, 4899, 9801
530, 19802, 39607
531, 16207, 32417
532, 2594, 5191
533, 22164, 44331
534, 16413, 32829
535, 22025, 44053
536, 1581, 3165
537, 1240, 2483
538, 1601, 3205
539, 3161, 6325
540, 28540, 57083
541, 17602, 35207
542, 27666, 55335
543, 22314, 44631
544, 12156, 24315
545, 25512, 51027
546, 12781, 25565
547, 24630, 49263
548, 15806, 31615
549, 4329, 8661
550, 9554, 19111
551, 2764, 5531
552, 19689, 39381
553, 24290, 48583
554, 20539, 41081
555, 13777, 27557
556, 2524, 5051
557, 10819, 21641
558, 12972, 25947
559, 24326, 48655
560, 16871, 33745
561, 573, 1149
562, 14988, 29979
563, 2952, 5907
564, 14650, 29303
565, 16159, 32321
566, 28083, 56169
567, 6557, 13117
568, 17821, 35645
569, 28242, 56487
570, 1300, 2603
571, 24493, 48989
572, 354, 711
573, 7521, 15045
574, 8509, 17021
575, 15503, 31009
576, 10904, 21811
577, 17005, 34013
578, 12108, 24219
579, 2007, 4017
580, 642, 1287
581, 25344, 50691
582, 693, 1389
583, 14988, 29979
584, 16712, 33427
585, 2288, 4579
586, 1681, 3365
587, 5966, 11935
588, 29163, 58329
589, 2391, 4785
590, 1369, 2741
591, 1607, 3217
592, 19070, 38143
593, 5600, 11203
594, 16515, 33033
595, 14257, 28517
596, 21652, 43307
597, 2660, 5323
598, 7884, 15771
599, 12521, 25045
600, 1221, 2445
601, 29847, 59697
602, 18327, 36657
603, 1059, 2121
604, 18837, 37677
605, 14172, 28347
606, 26005, 52013
607, 1407, 2817
608, 2246, 4495
609, 12352, 24707
610, 22213, 44429
611, 5578, 11159
612, 25772, 51547
613, 10533, 21069
614, 2446, 4895
615, 23367, 46737
616, 22513, 45029
617, 27741, 55485
618, 12299, 24601
619, 16799, 33601
620, 6331, 12665
621, 19147, 38297
622, 15782, 31567
623, 1847, 3697
624, 8923, 17849
625, 19780, 39563
626, 25320, 50643
627, 22738, 45479
628, 12872, 25747
629, 5435, 10873
630, 1631, 3265
631, 17270, 34543
632, 16843, 33689
633, 12446, 24895
634, 8929, 17861
635, 23379, 46761
636, 25083, 50169
637, 25851, 51705
638, 25153, 50309
639, 13841, 27685
640, 1852, 3707
641, 13799, 27601
642, 11776, 23555
643, 14729, 29461
644, 22308, 44619
645, 10912, 21827
646, 9333, 18669
647, 11911, 23825
648, 27726, 55455
649, 5873, 11749
650, 17232, 34467
651, 28878, 57759
652, 27187, 54377
653, 27478, 54959
654, 1835, 3673
655, 24669, 49341
656, 28517, 57037
657, 20577, 41157
658, 10594, 21191
659, 705, 1413
660, 22333, 44669
661, 4444, 8891
662, 28709, 57421
663, 11467, 22937
664, 10888, 21779
665, 6704, 13411
666, 17611, 35225
667, 1667, 3337
668, 2174, 4351
669, 3206, 6415
670, 1129, 2261
671, 18237, 36477
672, 7156, 14315
673, 12331, 24665
674, 16036, 32075
675, 27467, 54937
676, 28882, 57767
677, 17081, 34165
678, 22211, 44425
679, 10707, 21417
680, 15814, 31631
681, 27252, 54507
682, 15113, 30229
683, 21731, 43465
684, 266, 535
685, 20594, 41191
686, 9793, 19589
687, 23010, 46023
688, 14468, 28939
689, 9727, 19457
690, 8090, 16183
691, 4632, 9267
692, 27741, 55485
693, 6463, 12929
694, 11445, 22893
695, 1857, 3717
696, 9621, 19245
697, 2021, 4045
698, 27133, 54269
699, 17533, 35069
700, 7941, 15885
701, 10308, 20619
702, 2055, 4113
703, 15036, 30075
704, 25028, 50059
705, 20436, 40875
706, 5721, 11445
707, 8729, 17461
708, 27806, 55615
709, 24760, 49523
710, 29344, 58691
711, 388, 779
712, 28609, 57221
713, 7341, 14685
714, 5597, 11197
715, 4580, 9163
716, 28858, 57719
717, 2357, 4717
718, 11792, 23587
719, 20349, 40701
720, 27296, 54595
721, 10469, 20941
722, 21815, 43633
723, 6222, 12447
724, 16015, 32033
725, 26156, 52315
726, 9576, 19155
727, 190, 383
728, 2136, 4275
729, 997, 1997
730, 21278, 42559
731, 5049, 10101
732, 11127, 22257
733, 18046, 36095
734, 16849, 33701
735, 20757, 41517
736, 11334, 22671
737, 6570, 13143
738, 18121, 36245
739, 18682, 37367
740, 10608, 21219
741, 2020, 4043
742, 3635, 7273
743, 29361, 58725
744, 2471, 4945
745, 14181, 28365
746, 22133, 44269
747, 16347, 32697
748, 12698, 25399
749, 3448, 6899
750, 143, 289
751, 23478, 46959
752, 22049, 44101
753, 2012, 4027
754, 24034, 48071
755, 28572, 57147
756, 16059, 32121
757, 17770, 35543
758, 4710, 9423
759, 4300, 8603
760, 3131, 6265
761, 503, 1009
762, 17622, 35247
763, 15213, 30429
764, 22462, 44927
765, 2428, 4859
766, 2911, 5825
767, 2464, 4931
768, 15840, 31683
769, 26229, 52461
770, 26010, 52023
771, 16118, 32239
772, 10800, 21603
773, 20358, 40719
774, 933, 1869
775, 12114, 24231
776, 433, 869
777, 6244, 12491
778, 888, 1779
779, 27343, 54689
780, 13506, 27015
781, 10739, 21481
782, 6262, 12527
783, 19733, 39469
784, 12144, 24291
785, 17836, 35675
786, 20803, 41609
787, 28936, 57875
788, 457, 917
789, 6210, 12423
790, 28630, 57263
791, 866, 1735
792, 20133, 40269
793, 24453, 48909
794, 1999, 4001
795, 419, 841
796, 29121, 58245
797, 10118, 20239
798, 22282, 44567
799, 27766, 55535
800, 15612, 31227
801, 25340, 50683
802, 3188, 6379
803, 22293, 44589
804, 5574, 11151
805, 25318, 50639
806, 28957, 57917
807, 29215, 58433
808, 1749, 3501
809, 29042, 58087
810, 10127, 20257
811, 4809, 9621
812, 6681, 13365
813, 5150, 10303
814, 47, 97
815, 9763, 19529
816, 3827, 7657
817, 14621, 29245
818, 19201, 38405
819, 27037, 54077
820, 16546, 33095
821, 21500, 43003
822, 2224, 4451
823, 3273, 6549
824, 20734, 41471
825, 11653, 23309
826, 26798, 53599
827, 8290, 16583
828, 27496, 54995
829, 27364, 54731
830, 26105, 52213
831, 350, 703
832, 13313, 26629
833, 4104, 8211
834, 22784, 45571
835, 22624, 45251
836, 14106, 28215
837, 332, 667
838, 14532, 29067
839, 13473, 26949
840, 27884, 55771
841, 18519, 37041
842, 20834, 41671
843, 11216, 22435
844, 9609, 19221
845, 8256, 16515
846, 12191, 24385
847, 7527, 15057
848, 28947, 57897
849, 3318, 6639
850, 27333, 54669
851, 6752, 13507
852, 22572, 45147
853, 480, 963
854, 16558, 33119
855, 24824, 49651
856, 893, 1789
857, 23488, 46979
858, 14366, 28735
859, 17843, 35689
860, 23195, 46393
861, 12765, 25533
862, 15702, 31407
863, 11680, 23363
864, 4439, 8881
865, 16993, 33989
866, 27877, 55757
867, 2222, 4447
868, 2020, 4043
869, 2256, 4515
870, 194, 391
871, 9311, 18625
872, 16526, 33055
873, 426, 855
874, 5016, 10035
875, 7660, 15323
876, 16122, 32247
877, 13987, 27977
878, 11873, 23749
879, 7529, 15061
880, 13880, 27763
881, 16385, 32773
882, 21558, 43119
883, 14427, 28857
884, 18768, 37539
885, 16181, 32365
886, 101, 205
887, 15527, 31057
888, 3868, 7739
889, 11774, 23551
890, 19141, 38285
891, 5020, 10043
892, 1042, 2087
893, 28346, 56695
894, 9798, 19599
895, 22068, 44139
896, 10086, 20175
897, 8911, 17825
898, 28108, 56219
899, 359, 721
900, 1389, 2781
901, 16457, 32917
902, 13118, 26239
903, 8929, 17861
904, 2036, 4075
905, 10949, 21901
906, 1241, 2485
907, 17701, 35405
908, 29266, 58535
909, 21389, 42781
910, 7371, 14745
911, 17586, 35175
912, 8907, 17817
913, 9476, 18955
914, 12029, 24061
915, 27797, 55597
916, 14583, 29169
917, 15685, 31373
918, 18736, 37475
919, 7007, 14017
920, 16818, 33639
921, 15367, 30737
922, 1051, 2105
923, 8232, 16467
924, 9541, 19085
925, 10180, 20363
926, 11763, 23529
927, 26835, 53673
928, 11413, 22829
929, 11802, 23607
930, 1373, 2749
931, 26004, 52011
932, 26267, 52537
933, 17265, 34533
934, 2352, 4707
935, 17840, 35683
936, 532, 1067
937, 26078, 52159
938, 16335, 32673
939, 29060, 58123
940, 28538, 57079
941, 1863, 3729
942, 27141, 54285
943, 26057, 52117
944, 24370, 48743
945, 25288, 50579
946, 9921, 19845
947, 21526, 43055
948, 28679, 57361
949, 16726, 33455
950, 27445, 54893
951, 11430, 22863
952, 8663, 17329
953, 29090, 58183
954, 8281, 16565
955, 44, 91
956, 24716, 49435
957, 528, 1059
958, 9605, 19213
959, 4612, 9227
960, 15182, 30367
961, 13577, 27157
962, 24895, 49793
963, 25052, 50107
964, 7160, 14323
965, 5822, 11647
966, 21586, 43175
967, 22099, 44201
968, 4808, 9619
969, 2238, 4479
970, 25376, 50755
971, 26384, 52771
972, 2650, 5303
973, 233, 469
974, 18744, 37491
975, 1846, 3695
976, 679, 1361
977, 29717, 59437
978, 27435, 54873
979, 2743, 5489
980, 23402, 46807
981, 9393, 18789
982, 1388, 2779
983, 21511, 43025
984, 9459, 18921
985, 3737, 7477
986, 8343, 16689
987, 4418, 8839
988, 20736, 41475
989, 2937, 5877
990, 8740, 17483
991, 12880, 25763
992, 20985, 41973
993, 23653, 47309
994, 13083, 26169
995, 327, 657
996, 6554, 13111
997, 23929, 47861
998, 27449, 54901
999, 21074, 42151
1000, 22182, 44367
1001, 7356, 14715
1002, 4468, 8939
1003, 24018, 48039
1004, 15066, 30135
1005, 22602, 45207
1006, 12684, 25371
1007, 25474, 50951
1008, 23840, 47683
1009, 10163, 20329
1010, 12259, 24521
1011, 29967, 59937
1012, 3078, 6159
1013, 21662, 43327
1014, 20366, 40735
1015, 10503, 21009
1016, 9326, 18655
1017, 9906, 19815
1018, 24236, 48475
1019, 26081, 52165
1020, 16519, 33041
1021, 9910, 19823
1022, 1990, 3983
1023, 24126, 48255
1024, 21244, 42491
1025, 7414, 14831
1026, 12440, 24883
1027, 8814, 17631
1028, 619, 1241
1029, 20201, 40405
1030, 15680, 31363
1031, 27446, 54895
1032, 22808, 45619
1033, 16402, 32807
1034, 29044, 58091
1035, 464, 931
1036, 7395, 14793
1037, 1268, 2539
1038, 24104, 48211
1039, 26932, 53867
1040, 25463, 50929
1041, 8297, 16597
1042, 11408, 22819
1043, 11414, 22831
1044, 14021, 28045
1045, 21092, 42187
1046, 1587, 3177
1047, 512, 1027
1048, 23985, 47973
1049, 8630, 17263
1050, 17217, 34437
1051, 22849, 45701
1052, 7434, 14871
1053, 7998, 15999
1054, 21286, 42575
1055, 24150, 48303
1056, 1216, 2435
1057, 17284, 34571
1058, 4959, 9921
1059, 22728, 45459
1060, 7505, 15013
1061, 13912, 27827
1062, 2188, 4379
1063, 1670, 3343
1064, 2437, 4877
1065, 14774, 29551
1066, 11719, 23441
1067, 29460, 58923
1068, 28763, 57529
1069, 15341, 30685
1070, 20021, 40045
1071, 15060, 30123
1072, 17219, 34441
1073, 21760, 43523
1074, 7386, 14775
1075, 4997, 9997
1076, 13453, 26909
1077, 13133, 26269
1078, 2434, 4871
1079, 15881, 31765
1080, 29218, 58439
1081, 15212, 30427
1082, 15101, 30205
1083, 17771, 35545
1084, 834, 1671
1085, 24410, 48823
1086, 1498, 2999
1087, 12064, 24131
1088, 4525, 9053
1089, 28887, 57777
1090, 6423, 12849
1091, 141, 285
1092, 21814, 43631
1093, 29452, 58907
1094, 20296, 40595
1095, 15818, 31639
1096, 15189, 30381
1097, 12145, 24293
1098, 29974, 59951
1099, 17830, 35663
1100, 6444, 12891
1101, 4590, 9183
1102, 17626, 35255
1103, 12011, 24025
1104, 6380, 12763
1105, 4161, 8325
1106, 16491, 32985
1107, 2787, 5577
1108, 584, 1171
1109, 8351, 16705
1110, 23859, 47721
1111, 12570, 25143
1112, 26410, 52823
1113, 926, 1855
1114, 13961, 27925
1115, 822, 1647
1116, 2213, 4429
1117, 25938, 51879
1118, 14907, 29817
1119, 293, 589
1120, 2092, 4187
1121, 6582, 13167
1122, 873, 1749
1123, 29894, 59791
1124, 14593, 29189
1125, 798, 1599
1126, 22426, 44855
1127, 24203, 48409
1128, 9711, 19425
1129, 6923, 13849
1130, 1241, 2485
1131, 396, 795
1132, 7996, 15995
1133, 1135, 2273
1134, 18752, 37507
1135, 20480, 40963
1136, 25818, 51639
1137, 28913, 57829
1138, 23272, 46547
1139, 26552, 53107
1140, 16605, 33213
1141, 22435, 44873
1142, 2528, 5059
1143, 14316, 28635
1144, 9778, 19559
1145, 24082, 48167
1146, 10892, 21787
1147, 13370, 26743
1148, 10125, 20253
1149, 17262, 34527
1150, 22896, 45795
1151, 14572, 29147
1152, 23203, 46409
1153, 1771, 3545
1154, 6141, 12285
1155, 1146, 2295
1156, 1642, 3287
1157, 19814, 39631
1158, 11178, 22359
1159, 27215, 54433
1160, 25789, 51581
1161, 19020, 38043
1162, 29511, 59025
1163, 8912, 17827
1164, 11893, 23789
1165, 12216, 24435
1166, 9870, 19743
1167, 23707, 47417
1168, 2932, 5867
1169, 27099, 54201
1170, 13308, 26619
1171, 29452, 58907
1172, 13620, 27243
1173, 10657, 21317
1174, 12511, 25025
1175, 28166, 56335
1176, 1904, 3811
1177, 657, 1317
1178, 4015, 8033
1179, 12016, 24035
1180, 21265, 42533
1181, 8182, 16367
1182, 4257, 8517
1183, 28413, 56829
1184, 24443, 48889
1185, 21820, 43643
1186, 8314, 16631
1187, 29361, 58725
1188, 29673, 59349
1189, 3484, 6971
1190, 6561, 13125
1191, 5793, 11589
1192, 502, 1007
1193, 24316, 48635
1194, 7033, 14069
1195, 6522, 13047
1196, 5821, 11645
1197, 17424, 34851
1198, 27629, 55261
1199, 18244, 36491
1200, 21796, 43595
1201, 16838, 33679
1202, 5965, 11933
1203, 27112, 54227
1204, 18485, 36973
1205, 1713, 3429
1206, 16984, 33971
1207, 8944, 17891
1208, 7133, 14269
1209, 1971, 3945
1210, 25242, 50487
1211, 4751, 9505
1212, 11544, 23091
1213, 13617, 27237
1214, 20728, 41459
1215, 28641, 57285
1216, 20765, 41533
1217, 66, 135
1218, 27273, 54549
1219, 323, 649
1220, 7381, 14765
1221, 26680, 53363
1222, 13223, 26449
1223, 19718, 39439
1224, 16530, 33063
1225, 20194, 40391
1226, 12614, 25231
1227, 18832, 37667
1228, 19454, 38911
1229, 1473, 2949
1230, 27781, 55565
1231, 13956, 27915
1232, 28242, 56487
1233, 4985, 9973
1234, 21635, 43273
1235, 2083, 4169
1236, 1736, 3475
1237, 18346, 36695
1238, 29300, 58603
1239, 23091, 46185
1240, 6482, 12967
1241, 11472, 22947
1242, 9204, 18411
1243, 2031, 4065
1244, 1628, 3259
1245, 20840, 41683
1246, 20378, 40759
1247, 15391, 30785
1248, 19951, 39905
1249, 11349, 22701
1250, 18385, 36773
1251, 15049, 30101
1252, 5448, 10899
1253, 8321, 16645
1254, 20451, 40905
1255, 11016, 22035
1256, 2153, 4309
1257, 25543, 51089
1258, 551, 1105
1259, 2844, 5691
1260, 26143, 52289
1261, 19729, 39461
1262, 16253, 32509
1263, 1250, 2503
1264, 26468, 52939
1265, 19901, 39805
1266, 16199, 32401
1267, 21078, 42159
1268, 8661, 17325
1269, 6726, 13455
1270, 14682, 29367
1271, 19286, 38575
1272, 28262, 56527
1273, 17952, 35907
1274, 22629, 45261
1275, 169, 341
1276, 10324, 20651
1277, 22243, 44489
1278, 1458, 2919
1279, 2111, 4225
1280, 22619, 45241
1281, 4780, 9563
1282, 3579, 7161
1283, 24250, 48503
1284, 8234, 16471
1285, 3520, 7043
1286, 2174, 4351
1287, 558, 1119
1288, 1252, 2507
1289, 15219, 30441
1290, 13395, 26793
1291, 10789, 21581
1292, 8456, 16915
1293, 1609, 3221
1294, 16382, 32767
1295, 16615, 33233
1296, 13507, 27017
1297, 13146, 26295
1298, 12097, 24197
1299, 504, 1011
1300, 28228, 56459
1301, 5371, 10745
1302, 21300, 42603
1303, 25057, 50117
1304, 848, 1699
1305, 20634, 41271
1306, 2199, 4401
1307, 9011, 18025
1308, 16728, 33459
1309, 15338, 30679
1310, 12390, 24783
1311, 15562, 31127
1312, 22216, 44435
1313, 5441, 10885
1314, 5806, 11615
1315, 31, 65
1316, 9313, 18629
1317, 6974, 13951
1318, 15264, 30531
1319, 22528, 45059
1320, 9465, 18933
1321, 18350, 36703
1322, 13027, 26057
1323, 26292, 52587
1324, 23713, 47429
1325, 12720, 25443
1326, 3375, 6753
1327, 11545, 23093
1328, 11991, 23985
1329, 23320, 46643
1330, 24, 51
1331, 6465, 12933
1332, 25853, 51709
1333, 27922, 55847
1334, 16423, 32849
1335, 15709, 31421
1336, 986, 1975
1337, 10248, 20499
1338, 16687, 33377
1339, 24264, 48531
1340, 848, 1699
1341, 2757, 5517
1342, 20702, 41407
1343, 279, 561
1344, 5022, 10047
1345, 29914, 59831
1346, 16275, 32553
1347, 1423, 2849
1348, 11478, 22959
1349, 18496, 36995
1350, 2927, 5857
1351, 26119, 52241
1352, 1873, 3749
1353, 20032, 40067
1354, 16815, 33633
1355, 29904, 59811
1356, 7378, 14759
1357, 25488, 50979
1358, 2617, 5237
1359, 16387, 32777
1360, 4616, 9235
1361, 12223, 24449
1362, 4468, 8939
1363, 6457, 12917
1364, 8936, 17875
1365, 27602, 55207
1366, 17501, 35005
1367, 12625, 25253
1368, 5483, 10969
1369, 1792, 3587
1370, 4824, 9651
1371, 8557, 17117
1372, 9140, 18283
1373, 25019, 50041
