,X,Y,Z
154, 32, 19929, 61839
155, 50, 412, 6240
156, 79, 14705, 56601
157, 55, 1093, 9333
158, 23, 20261, 61845
159, 77, 11387, 46023
160, 47, 1523, 8991
161, 31, 5832, 19422
162, 0, 14673, 44023
163, 51, 10745, 37441
164, 54, 13075, 45061
165, 62, 4130, 20082
166, 1, 3214, 9648
167, 74, 16610, 60786
168, 0, 11006, 33022
169, 19, 232, 1422
170, 69, 23333, 79525
171, 46, 1414, 8478
172, 40, 20533, 64803
173, 11, 21669, 65253
174, 73, 2544, 18294
175, 61, 26666, 87444
176, 11, 26126, 78624
177, 35, 2343, 9483
178, 38, 24799, 77289
179, 33, 13733, 43381
180, 51, 18737, 61417
181, 79, 29936, 102294
182, 67, 27508, 91506
183, 97, 4035, 30927
184, 25, 748, 3498
185, 33, 2726, 10360
186, 88, 10567, 47193
187, 84, 22485, 81571
188, 32, 27552, 84708
189, 87, 21347, 79183
190, 72, 3715, 21517
191, 81, 10335, 44131
192, 88, 16226, 64170
193, 1, 2102, 6312
194, 35, 21607, 67275
195, 98, 10649, 51159
196, 0, 10842, 32530
197, 20, 8608, 26628
198, 48, 6598, 24406
199, 21, 13807, 42307
200, 32, 18263, 56841
201, 44, 1607, 8697
202, 37, 21383, 66891
203, 6, 20096, 60364
204, 67, 11641, 43905
205, 99, 28807, 106027
206, 74, 3365, 21051
207, 18, 24483, 74101
208, 14, 22710, 68526
209, 95, 20732, 80250
210, 78, 1024, 15244
211, 57, 21853, 72061
212, 79, 25174, 88008
213, 97, 16441, 68145
214, 26, 20939, 64173
215, 13, 2748, 8586
216, 3, 2423, 7291
217, 96, 19268, 76240
218, 44, 2348, 10920
219, 25, 18496, 56742
220, 29, 2954, 10548
221, 51, 4119, 17563
222, 53, 18976, 62550
223, 28, 13436, 41880
224, 21, 19667, 59887
225, 76, 10785, 43911
226, 71, 18564, 65778
227, 27, 15482, 47908
228, 2, 20717, 62163
229, 41, 28355, 88431
230, 28, 25036, 76680
231, 14, 28228, 85080
232, 24, 836, 3664
233, 27, 1188, 5026
234, 89, 3456, 26214
235, 63, 25244, 83674
236, 94, 20377, 78807
237, 5, 2589, 7821
238, 92, 7610, 39762
239, 2, 373, 1131
240, 77, 2690, 19932
241, 58, 11741, 41955
242, 34, 20393, 63495
243, 36, 5751, 19849
244, 47, 10727, 36603
245, 81, 16199, 61723
246, 66, 11281, 42559
247, 39, 13694, 44128
248, 9, 19846, 59704
249, 30, 12543, 39433
250, 32, 14281, 44895
251, 84, 28444, 99448
252, 74, 5999, 28953
253, 52, 10912, 38148
254, 95, 29756, 107322
255, 44, 21779, 69213
256, 14, 21641, 65319
257, 13, 9, 369
258, 35, 12264, 39246
259, 79, 20188, 73050
260, 60, 29963, 97093
261, 64, 14283, 51045
262, 32, 9954, 31914
263, 77, 15907, 59583
264, 8, 21764, 65424
265, 24, 973, 4075
266, 81, 29520, 101686
267, 56, 29512, 94812
268, 82, 21716, 78600
269, 34, 12713, 40455
270, 78, 19950, 72022
271, 96, 29152, 105892
272, 64, 16816, 58644
273, 7, 3388, 10266
274, 27, 7817, 24913
275, 0, 1330, 3994
276, 84, 3618, 24970
277, 31, 21082, 65172
278, 2, 23687, 71073
279, 24, 9402, 29362
280, 68, 23175, 78777
281, 15, 1047, 3595
282, 64, 16221, 56859
283, 90, 10409, 47431
284, 92, 19856, 76500
285, 19, 21311, 64659
286, 9, 16151, 48619
287, 39, 20067, 63247
288, 56, 15553, 52935
289, 89, 447, 17187
290, 72, 25812, 87808
291, 44, 3327, 13857
292, 59, 9460, 35346
293, 77, 1993, 17841
294, 0, 27463, 82393
295, 15, 14795, 44839
296, 1, 29399, 88203
297, 3, 3188, 9586
298, 54, 12088, 42100
299, 70, 1942, 15630
300, 45, 7018, 25108
301, 68, 14186, 51810
302, 4, 28672, 86052
303, 0, 5412, 16240
304, 52, 1154, 8874
305, 74, 10072, 41172
306, 87, 24593, 88921
307, 67, 28110, 93312
308, 28, 15689, 48639
309, 27, 6578, 21196
310, 34, 1388, 6480
311, 63, 479, 9379
312, 18, 1724, 5824
313, 45, 11357, 38125
314, 73, 27176, 92190
315, 53, 4391, 18795
316, 50, 11307, 38925
317, 97, 1282, 22668
318, 59, 7410, 29196
319, 41, 9388, 31530
320, 13, 11197, 33933
321, 95, 1921, 23817
322, 72, 391, 11545
323, 65, 25380, 84594
324, 97, 12009, 54849
325, 88, 2396, 22680
326, 24, 28988, 88120
327, 83, 13693, 54861
328, 65, 21246, 72192
329, 21, 15368, 46990
330, 94, 11126, 51054
331, 7, 15189, 45669
332, 13, 16795, 50727
333, 13, 11168, 33846
334, 22, 5683, 18021
335, 66, 3970, 20626
336, 68, 6456, 28620
337, 79, 29810, 101916
338, 4, 20095, 60321
339, 4, 23691, 71109
340, 73, 9628, 39546
341, 33, 96, 2470
342, 78, 2304, 19084
343, 36, 16685, 52651
344, 85, 26724, 94626
345, 34, 4735, 16521
346, 38, 17003, 53901
347, 71, 1239, 13803
348, 40, 29058, 90378
349, 13, 20411, 61575
350, 89, 16395, 65031
351, 56, 7214, 27918
352, 39, 1980, 8986
353, 8, 16178, 48666
354, 13, 24641, 74265
355, 63, 2138, 14356
356, 28, 8489, 27039
357, 54, 15556, 52504
358, 80, 15103, 58113
359, 53, 17783, 58971
360, 19, 11191, 34299
361, 81, 1434, 17428
362, 75, 4685, 25309
363, 90, 11061, 49387
364, 33, 9640, 31102
365, 53, 24204, 78234
366, 4, 4804, 14448
367, 63, 17721, 61105
368, 56, 1552, 10932
369, 54, 11464, 40228
370, 45, 25621, 80917
371, 24, 7594, 23938
372, 31, 41, 2049
373, 34, 1586, 7074
374, 35, 2435, 9759
375, 75, 5860, 28834
376, 9, 21951, 66019
377, 13, 13295, 40227
378, 59, 4708, 21090
379, 19, 8184, 25278
380, 30, 7125, 23179
381, 43, 17433, 56001
382, 96, 6821, 38899
383, 46, 14634, 48138
384, 6, 462, 1462
385, 82, 271, 14265
386, 91, 6979, 37503
387, 47, 18545, 60057
388, 84, 18932, 70912
389, 14, 690, 2466
390, 25, 2770, 9564
391, 81, 15867, 60727
392, 60, 29508, 95728
393, 71, 28920, 96846
394, 89, 19962, 75732
395, 87, 2215, 21787
396, 34, 26064, 80508
397, 22, 24684, 75024
398, 39, 709, 5173
399, 74, 23177, 80487
400, 12, 4428, 13576
401, 48, 18588, 60376
402, 26, 23314, 71298
403, 62, 15721, 54855
404, 24, 6850, 21706
405, 25, 11226, 34932
406, 19, 26933, 81525
407, 92, 532, 18528
408, 12, 25870, 77902
409, 58, 22764, 75024
410, 48, 25685, 81667
411, 93, 16074, 65524
412, 44, 26978, 84810
413, 48, 1933, 10411
414, 91, 24317, 89517
415, 54, 16351, 54889
416, 96, 24515, 91981
417, 63, 17641, 60865
418, 12, 3276, 10120
419, 74, 28698, 97050
420, 83, 14218, 56436
421, 24, 12324, 38128
422, 34, 25332, 78312
423, 72, 13128, 49756
424, 69, 24548, 83170
425, 63, 1748, 13186
426, 38, 2238, 9606
427, 50, 20458, 66378
428, 30, 24659, 75781
429, 74, 386, 12114
430, 94, 6149, 36123
431, 35, 13234, 42156
432, 13, 16683, 50391
433, 64, 46, 8334
434, 20, 11703, 35913
435, 66, 2059, 14893
436, 62, 17430, 59982
437, 22, 1736, 6180
438, 33, 19031, 59275
439, 20, 5774, 18126
440, 36, 27792, 85972
441, 34, 2487, 9777
442, 38, 637, 4803
443, 74, 2142, 17382
444, 55, 22635, 73959
445, 7, 2645, 8037
446, 70, 2596, 17592
447, 73, 13453, 51021
448, 15, 26700, 80554
449, 42, 881, 6175
450, 6, 20251, 60829
451, 87, 24772, 89458
452, 59, 14380, 50106
453, 24, 9676, 30184
454, 31, 1446, 6264
455, 81, 1135, 16531
456, 79, 26584, 92238
457, 10, 25757, 77475
458, 80, 11482, 47250
459, 20, 15678, 47838
460, 51, 13169, 44713
461, 12, 21006, 63310
462, 57, 1332, 10498
463, 63, 29941, 97765
464, 54, 23533, 76435
465, 50, 19388, 63168
466, 74, 5698, 28050
467, 0, 2509, 7531
468, 72, 24469, 83779
469, 90, 522, 17770
470, 58, 3880, 18372
471, 38, 26881, 83535
472, 4, 645, 1971
473, 20, 3727, 11985
474, 8, 493, 1611
475, 52, 14466, 48810
476, 14, 10031, 30489
477, 12, 1923, 6061
478, 45, 11755, 39319
479, 77, 23412, 82098
480, 14, 424, 1668
481, 27, 18966, 58360
482, 48, 15475, 51037
483, 7, 18095, 54387
484, 63, 23065, 77137
485, 71, 22809, 78513
486, 25, 29990, 91224
487, 48, 9534, 33214
488, 73, 16735, 60867
489, 83, 29331, 101775
490, 86, 25741, 92019
491, 80, 19683, 71853
492, 8, 15723, 47301
493, 20, 8782, 27150
494, 1, 4546, 13644
495, 92, 657, 18903
496, 79, 26579, 92223
497, 6, 25480, 76516
498, 60, 3829, 18691
499, 16, 3825, 11991
500, 62, 7039, 28809
501, 44, 7538, 26490
502, 59, 23016, 76014
503, 42, 8926, 30310
504, 88, 2045, 21627
505, 44, 28596, 89664
506, 90, 3187, 25765
507, 77, 3048, 21006
508, 61, 21486, 71904
509, 7, 20198, 60696
510, 45, 23809, 75481
511, 28, 14549, 45219
512, 97, 12711, 56955
513, 43, 28952, 90558
514, 98, 28433, 104511
515, 44, 3611, 14709
516, 28, 27537, 84183
517, 72, 2636, 18280
518, 6, 29622, 88942
519, 93, 2663, 25291
520, 48, 25273, 80431
521, 70, 22775, 78129
522, 80, 6679, 32841
523, 34, 15130, 47706
524, 2, 7296, 21900
525, 34, 644, 4248
526, 77, 20464, 73254
527, 8, 198, 726
528, 49, 11036, 37914
529, 17, 16336, 49590
530, 94, 21007, 80697
531, 79, 9141, 39909
532, 56, 26133, 84675
533, 79, 22959, 81363
534, 89, 3288, 25710
535, 81, 14435, 56431
536, 49, 29385, 92961
537, 54, 54, 5998
538, 64, 19649, 67143
539, 9, 21503, 64675
540, 53, 7400, 27822
541, 21, 12591, 38659
542, 81, 16087, 61387
543, 1, 4334, 13008
544, 49, 2505, 12321
545, 33, 4280, 15022
546, 32, 16695, 52137
547, 20, 25416, 77052
548, 72, 1444, 14704
549, 47, 14756, 48690
550, 16, 917, 3267
551, 57, 15705, 53617
552, 86, 550, 16446
553, 43, 8, 3726
554, 35, 649, 4401
555, 2, 1057, 3183
556, 75, 12016, 47302
557, 7, 17135, 51507
558, 57, 4605, 20317
559, 78, 21461, 76555
560, 42, 11272, 37348
561, 50, 6359, 24081
562, 13, 22992, 69318
563, 72, 5211, 26005
564, 67, 28054, 93144
565, 14, 19505, 58911
566, 11, 18999, 57243
567, 50, 24018, 77058
568, 89, 14744, 60078
569, 78, 10213, 42811
570, 63, 582, 9688
571, 90, 11528, 50788
572, 25, 94, 1536
573, 29, 5068, 16890
574, 17, 17835, 54087
575, 56, 26625, 86151
576, 73, 1295, 14547
577, 21, 309, 1813
578, 47, 19748, 63666
579, 78, 12919, 50929
580, 97, 22050, 84972
581, 40, 10081, 33447
582, 14, 26372, 79512
583, 95, 4693, 32133
584, 53, 5606, 22440
585, 55, 4102, 18360
586, 5, 26546, 79692
587, 89, 25658, 92820
588, 25, 4859, 15831
589, 74, 29647, 99897
590, 93, 27177, 98833
591, 55, 8188, 30618
592, 52, 12503, 42921
593, 53, 26330, 84612
594, 67, 24697, 83073
595, 59, 27939, 90783
596, 18, 8258, 25426
597, 78, 21817, 77623
598, 78, 29765, 101467
599, 65, 1898, 14148
600, 2, 26586, 79770
601, 29, 20338, 62700
602, 66, 14147, 51157
603, 86, 29505, 103311
604, 33, 15503, 48691
605, 59, 9983, 36915
606, 65, 9151, 35907
607, 70, 590, 11574
608, 57, 10792, 38878
609, 15, 23247, 70195
610, 50, 27928, 88788
611, 7, 10215, 30747
612, 86, 3004, 23808
613, 4, 21443, 64365
614, 41, 8257, 28137
615, 43, 7577, 26433
616, 64, 21562, 72882
617, 45, 28977, 90985
618, 64, 5186, 23754
619, 46, 22437, 71547
620, 67, 9954, 38844
621, 55, 25957, 83925
622, 26, 10933, 34155
623, 37, 18813, 59181
624, 58, 16329, 55719
625, 63, 25115, 83287
626, 58, 24649, 80679
627, 57, 1307, 10423
628, 85, 11353, 48513
629, 53, 5382, 21768
630, 20, 11586, 35562
631, 54, 26987, 86797
632, 95, 21455, 82419
633, 70, 29772, 99120
634, 37, 13815, 44187
635, 40, 17132, 54600
636, 49, 20411, 66039
637, 23, 23303, 70971
638, 86, 19282, 72642
639, 34, 25619, 79173
640, 33, 5252, 17938
641, 76, 150, 12006
642, 69, 15188, 55090
643, 49, 12248, 41550
644, 71, 27105, 91401
645, 82, 2522, 21018
646, 20, 29070, 88014
647, 93, 13159, 56779
648, 52, 13153, 44871
649, 33, 19402, 60388
650, 36, 26537, 82207
651, 45, 6816, 24502
652, 62, 2276, 14520
653, 50, 10223, 35673
654, 38, 26079, 81129
655, 10, 29848, 89748
656, 21, 7967, 24787
657, 26, 729, 3543
658, 74, 4992, 25932
659, 32, 18453, 57411
660, 29, 28, 1770
661, 70, 27608, 92628
662, 55, 22382, 73200
663, 33, 742, 4408
664, 89, 5048, 30990
665, 81, 24243, 85855
666, 24, 2209, 7783
667, 12, 792, 2668
668, 93, 755, 19567
669, 13, 24613, 74181
670, 59, 28324, 91938
671, 92, 20882, 79578
672, 25, 10851, 33807
673, 43, 27227, 85383
674, 80, 4630, 26694
675, 94, 347, 18717
676, 73, 2466, 18060
677, 94, 10615, 49521
678, 27, 23850, 73012
679, 50, 26622, 84870
680, 63, 27035, 89047
681, 23, 2064, 7254
682, 23, 3112, 10398
683, 70, 10605, 41619
684, 24, 5953, 19015
685, 80, 2991, 21777
686, 71, 28137, 94497
687, 78, 1419, 16429
688, 83, 21784, 79134
689, 12, 340, 1312
690, 45, 29790, 93424
691, 66, 8896, 35404
692, 88, 18890, 72162
693, 45, 1215, 7699
694, 82, 5386, 29610
695, 31, 26537, 81537
696, 27, 2211, 8095
697, 91, 5864, 34158
698, 60, 1108, 10528
699, 51, 12182, 41752
700, 38, 13318, 42846
701, 42, 9879, 33169
702, 80, 2758, 21078
703, 4, 20234, 60738
704, 66, 4614, 22558
705, 76, 4300, 24456
706, 76, 2976, 20484
707, 17, 26686, 80640
708, 91, 6349, 35613
709, 80, 4937, 27615
710, 54, 9558, 34510
711, 1, 3999, 12003
712, 31, 27945, 85761
713, 4, 20035, 60141
714, 51, 27645, 88141
715, 94, 16459, 67053
716, 51, 28729, 91393
717, 80, 8421, 38067
718, 9, 21778, 65500
719, 87, 8344, 40174
720, 42, 10228, 34216
721, 37, 21964, 68634
722, 61, 15652, 54402
723, 59, 5773, 24285
724, 92, 627, 18813
725, 43, 8076, 27930
726, 86, 18517, 70347
727, 95, 11366, 52152
728, 97, 10338, 49836
729, 11, 25897, 77937
730, 24, 4829, 15643
731, 48, 17685, 57667
732, 7, 16804, 50514
733, 1, 24223, 72675
734, 61, 12679, 45483
735, 79, 8380, 37626
736, 11, 12716, 38394
737, 51, 347, 6247
738, 36, 561, 4279
739, 74, 12595, 48741
740, 9, 17940, 53986
741, 33, 15552, 48838
742, 73, 19536, 69270
743, 86, 16008, 62820
744, 39, 29769, 92353
745, 47, 1699, 9519
746, 91, 12650, 54516
747, 68, 23418, 79506
748, 86, 29197, 102387
749, 2, 14287, 42873
750, 90, 28059, 100381
751, 75, 10750, 43504
752, 41, 7668, 26370
753, 67, 14466, 52380
754, 21, 26641, 80809
755, 25, 28602, 87060
756, 16, 14312, 43452
757, 42, 1981, 9475
758, 29, 5007, 16707
759, 89, 1373, 19965
760, 7, 27045, 81237
761, 5, 20920, 62814
762, 80, 7918, 36558
763, 51, 21764, 70498
764, 68, 7997, 33243
765, 3, 844, 2554
766, 31, 103, 2235
767, 43, 19174, 61224
768, 29, 12181, 38229
769, 25, 5192, 16830
770, 84, 4106, 26434
771, 42, 15786, 50890
772, 27, 21734, 66664
773, 56, 26140, 84696
774, 45, 5210, 19684
775, 61, 18683, 63495
776, 16, 13, 555
777, 4, 22897, 68727
778, 99, 18095, 73891
779, 64, 14139, 50613
780, 30, 15100, 47104
781, 83, 24751, 88035
782, 36, 18883, 59245
783, 93, 17917, 71053
784, 73, 2087, 16923
785, 20, 8629, 26691
786, 77, 12133, 48261
787, 98, 14985, 64167
788, 17, 935, 3387
789, 12, 29269, 88099
790, 65, 22777, 76785
791, 62, 18012, 61728
792, 13, 22490, 67812
793, 53, 9428, 33906
794, 8, 10230, 30822
795, 52, 15270, 51222
796, 46, 2833, 12735
797, 74, 9327, 38937
798, 37, 2358, 9816
799, 6, 4554, 13738
800, 38, 29185, 90447
801, 40, 25041, 78327
802, 33, 3946, 14020
803, 76, 14817, 56007
804, 30, 21379, 65941
805, 41, 3998, 15360
806, 77, 2691, 19935
807, 63, 17207, 59563
808, 80, 9796, 42192
809, 83, 12012, 49818
810, 16, 22026, 66594
811, 34, 20429, 63603
812, 25, 10566, 32952
813, 5, 27588, 82818
814, 82, 15305, 59367
815, 9, 22741, 68389
816, 84, 19549, 72763
817, 63, 18853, 64501
818, 98, 3424, 29484
819, 61, 17209, 59073
820, 6, 26802, 80482
821, 97, 8193, 43401
822, 57, 15058, 51676
823, 9, 17429, 52453
824, 92, 18755, 73197
825, 83, 26302, 92688
826, 9, 773, 2485
827, 99, 5432, 35902
828, 44, 865, 6471
829, 92, 21174, 80454
830, 71, 15925, 57861
831, 96, 1143, 21865
832, 8, 7985, 24087
833, 55, 16952, 56910
834, 73, 6801, 31065
835, 16, 4634, 14418
836, 53, 4140, 18042
837, 60, 1109, 10531
838, 61, 20636, 69354
839, 15, 381, 1597
840, 61, 2159, 13923
841, 69, 12116, 45874
842, 28, 18877, 58203
843, 15, 24944, 75286
844, 5, 23339, 70071
845, 74, 26958, 91830
846, 16, 22000, 66516
847, 39, 1735, 8251
848, 36, 20806, 65014
849, 44, 10386, 35034
850, 3, 15427, 46303
851, 78, 5643, 29101
852, 75, 136, 11662
853, 63, 26162, 86428
854, 57, 7002, 27508
855, 10, 26615, 80049
856, 63, 21535, 72547
857, 76, 24501, 85059
858, 62, 6635, 27597
859, 85, 15868, 62058
860, 50, 18028, 59088
861, 84, 13203, 53725
862, 81, 26434, 92428
863, 51, 18109, 59533
864, 26, 7524, 23928
865, 79, 19900, 72186
866, 50, 3007, 14025
867, 22, 29332, 88968
868, 12, 6432, 19588
869, 70, 9233, 37503
870, 70, 2387, 16965
871, 89, 6155, 34311
872, 42, 12685, 41587
873, 33, 17129, 53569
874, 77, 19463, 70251
875, 26, 26724, 81528
876, 81, 12012, 49162
877, 41, 10638, 35280
878, 43, 27253, 85461
879, 20, 13330, 40794
880, 5, 4690, 14124
881, 99, 397, 20797
882, 92, 13901, 58635
883, 33, 2573, 9901
884, 32, 20010, 62082
885, 60, 25897, 84895
886, 98, 7377, 41343
887, 29, 26178, 80220
888, 70, 20143, 70233
889, 27, 6137, 19873
890, 63, 22361, 75025
891, 57, 21041, 69625
892, 36, 21106, 65914
893, 94, 14149, 60123
894, 28, 27600, 84372
895, 69, 2077, 15757
896, 28, 4826, 16050
897, 69, 23709, 80653
898, 23, 2052, 7218
899, 35, 18319, 57411
900, 7, 15519, 46659
901, 9, 20355, 61231
902, 62, 27674, 90714
903, 41, 23331, 73359
904, 87, 14413, 58381
905, 31, 4588, 15690
906, 18, 18216, 55300
907, 39, 8426, 28324
908, 50, 17096, 56292
909, 43, 15554, 50364
910, 82, 2970, 22362
911, 35, 1270, 6264
912, 53, 21954, 71484
913, 45, 11365, 38149
914, 85, 13758, 55728
915, 91, 2833, 25065
916, 37, 24646, 76680
917, 83, 2037, 19893
918, 63, 8567, 33643
919, 14, 13111, 39729
920, 2, 20273, 60831
921, 48, 22474, 72034
922, 28, 15038, 46686
923, 8, 11799, 35529
924, 90, 26036, 94312
925, 15, 3597, 11245
926, 59, 2284, 13818
927, 57, 24982, 81448
928, 67, 26067, 87183
929, 2, 1820, 5472
930, 69, 18737, 65737
931, 10, 15692, 47280
932, 22, 2281, 7815
933, 36, 1769, 7903
934, 47, 1536, 9030
935, 76, 24324, 84528
936, 81, 18466, 68524
937, 67, 1179, 12519
938, 24, 25953, 79015
939, 39, 1856, 8614
940, 90, 29951, 106057
941, 62, 29484, 96144
942, 37, 2974, 11664
943, 52, 23988, 77376
944, 58, 8661, 32715
945, 13, 458, 1716
946, 83, 13526, 54360
947, 35, 1478, 6888
948, 99, 23118, 88960
949, 48, 20071, 64825
950, 16, 19341, 58539
951, 94, 788, 20040
952, 97, 11239, 52539
953, 36, 10088, 32860
954, 22, 3674, 11994
955, 16, 28142, 84942
956, 17, 2369, 7689
957, 26, 10281, 32199
958, 2, 4199, 12609
959, 75, 680, 13294
960, 78, 15504, 58684
961, 69, 9591, 38299
962, 82, 2549, 21099
963, 55, 16393, 55233
964, 94, 19518, 76230
965, 56, 27157, 87747
966, 48, 934, 7414
967, 81, 703, 15235
968, 87, 22345, 82177
969, 62, 17208, 59316
970, 18, 4337, 13663
971, 96, 22440, 85756
972, 35, 25553, 79113
973, 4, 23819, 71493
974, 28, 1937, 7383
975, 23, 25226, 76740
976, 79, 15564, 59178
977, 55, 28460, 91434
978, 4, 28118, 84390
979, 97, 1645, 23757
980, 77, 10881, 44505
981, 87, 14637, 59053
982, 9, 2082, 6412
983, 52, 18971, 62325
984, 49, 1504, 9318
985, 38, 20244, 63624
986, 24, 23661, 72139
987, 11, 28151, 84699
988, 40, 23273, 73023
989, 87, 13787, 56503
990, 70, 21746, 75042
991, 0, 1107, 3325
992, 81, 2080, 19366
993, 79, 20465, 73881
994, 4, 6592, 19812
995, 62, 1752, 12948
996, 38, 5343, 18921
997, 59, 6582, 26712
998, 42, 26442, 82858
999, 64, 14882, 52842
1000, 53, 7172, 27138
1001, 19, 13827, 42207
1002, 4, 29720, 89196
1003, 64, 3682, 19242
1004, 28, 28031, 85665
1005, 52, 19104, 62724
1006, 27, 12611, 39295
1007, 49, 650, 6756
1008, 64, 11493, 42675
1009, 72, 11468, 44776
1010, 18, 23293, 70531
1011, 94, 14548, 61320
1012, 79, 2544, 20118
1013, 81, 23993, 85105
1014, 75, 22790, 79624
1015, 16, 15500, 47016
1016, 98, 4844, 33744
1017, 82, 22285, 80307
1018, 34, 28472, 87732
1019, 4, 19057, 57207
1020, 27, 1068, 4666
1021, 74, 10082, 41202
1022, 89, 15868, 63450
1023, 91, 2888, 25230
1024, 44, 20051, 64029
1025, 90, 24263, 88993
1026, 31, 4819, 16383
1027, 40, 23944, 75036
1028, 23, 12555, 38727
1029, 51, 19261, 62989
1030, 84, 2254, 20878
1031, 13, 1199, 3939
1032, 79, 3218, 22140
1033, 26, 1338, 5370
1034, 6, 998, 3070
1035, 14, 26540, 80016
1036, 34, 12360, 39396
1037, 11, 19498, 58740
1038, 87, 15205, 60757
1039, 49, 16771, 55119
1040, 37, 14434, 46044
1041, 46, 13033, 43335
1042, 9, 13963, 42055
1043, 56, 18861, 62859
1044, 65, 18026, 62532
1045, 61, 7242, 29172
1046, 29, 16618, 51540
1047, 67, 20133, 69381
1048, 30, 2492, 9280
1049, 80, 1939, 18621
1050, 96, 20730, 80626
1051, 23, 24476, 74490
1052, 71, 6154, 28548
1053, 15, 11519, 35011
1054, 41, 2198, 9960
1055, 24, 20725, 63331
1056, 23, 5593, 17841
1057, 44, 27194, 85458
1058, 37, 20332, 63738
1059, 76, 4298, 24450
1060, 31, 12035, 38031
1061, 91, 2488, 24030
1062, 50, 24481, 78447
1063, 33, 19301, 60085
1064, 14, 24371, 73509
1065, 55, 6431, 25347
1066, 96, 18987, 75397
1067, 31, 24520, 75486
1068, 31, 2668, 9930
1069, 64, 12777, 46527
1070, 79, 28006, 96504
1071, 55, 9254, 33816
1072, 47, 25986, 82380
1073, 11, 14787, 44607
1074, 79, 1424, 16758
