,X,Y,Z,W
77, 0.262856, 2, 2, 0.259839
78, 0.877224, 2, 2, 0.768967
79, 0.522843, 2, 2, 0.499345
80, 0.312693, 2, 2, 0.307622
81, 0.684408, 2, 2, 0.632214
82, 0.0813013, 2, 2, 0.0812118
83, 0.646962, 2, 2, 0.602765
84, 0.303507, 2, 2, 0.298868
85, 0.905637, 2, 2, 0.786818
86, 0.986908, 2, 2, 0.834325
87, 0.771386, 2, 2, 0.697129
88, 0.760369, 2, 2, 0.689189
89, 0.984191, 2, 2, 0.832825
90, 0.585467, 2, 2, 0.552589
91, 0.927915, 2, 2, 0.800372
92, 0.0687887, 2, 2, 0.0687345
93, 0.820612, 2, 2, 0.731563
94, 0.504166, 2, 2, 0.483077
95, 0.74929, 2, 2, 0.681119
96, 0.288095, 2, 2, 0.284126
97, 0.864345, 2, 2, 0.76067
98, 0.0122379, 2, 2, 0.0122376
99, 0.0747398, 2, 2, 0.0746703
100, 0.459609, 2, 2, 0.443597
101, 0.814142, 2, 2, 0.727137
102, 0.0451064, 2, 2, 0.0450911
103, 0.502976, 2, 2, 0.482035
104, 0.0730613, 2, 2, 0.0729963
105, 0.843898, 2, 2, 0.747239
106, 0.652181, 2, 2, 0.606921
107, 0.673299, 2, 2, 0.623569
108, 0.347575, 2, 2, 0.340619
109, 0.384655, 2, 2, 0.37524
110, 0.774773, 2, 2, 0.699554
111, 0.556993, 2, 2, 0.528636
112, 0.483108, 2, 2, 0.464534
113, 0.99527, 2, 2, 0.838906
114, 0.760552, 2, 2, 0.689321
115, 0.539354, 2, 2, 0.513581
116, 0.539048, 2, 2, 0.51332
117, 0.351421, 2, 2, 0.344232
118, 0.52028, 2, 2, 0.497123
119, 0.574145, 2, 2, 0.543117
120, 0.0960417, 2, 2, 0.0958942
121, 0.885678, 2, 2, 0.774344
122, 0.733573, 2, 2, 0.669528
123, 0.191534, 2, 2, 0.190365
124, 0.357067, 2, 2, 0.349527
125, 0.108615, 2, 2, 0.108402
126, 0.00946074, 2, 2, 0.0094606
127, 0.640797, 2, 2, 0.597835
128, 0.844417, 2, 2, 0.747584
129, 0.143406, 2, 2, 0.142915
130, 0.408856, 2, 2, 0.39756
131, 0.948943, 2, 2, 0.8128
132, 0.34846, 2, 2, 0.341451
133, 0.504105, 2, 2, 0.483024
134, 0.233802, 2, 2, 0.231678
135, 0.176824, 2, 2, 0.175904
136, 0.284799, 2, 2, 0.280964
137, 0.649434, 2, 2, 0.604736
138, 0.491379, 2, 2, 0.471842
139, 0.653615, 2, 2, 0.60806
140, 0.115757, 2, 2, 0.115498
141, 0.343364, 2, 2, 0.336656
142, 0.936979, 2, 2, 0.805773
143, 0.470962, 2, 2, 0.453743
144, 0.992553, 2, 2, 0.837424
145, 0.353526, 2, 2, 0.346208
146, 0.104251, 2, 2, 0.104062
147, 0.0183721, 2, 2, 0.0183711
148, 0.274392, 2, 2, 0.270962
149, 0.518509, 2, 2, 0.495586
150, 0.227851, 2, 2, 0.225885
151, 0.840815, 2, 2, 0.745187
152, 0.0811182, 2, 2, 0.0810293
153, 0.715964, 2, 2, 0.656345
154, 0.4644, 2, 2, 0.447887
155, 0.599536, 2, 2, 0.56426
156, 0.534654, 2, 2, 0.509543
157, 0.762017, 2, 2, 0.690382
158, 0.319102, 2, 2, 0.313714
159, 0.418104, 2, 2, 0.406028
160, 0.846828, 2, 2, 0.749183
161, 0.773766, 2, 2, 0.698834
162, 0.683401, 2, 2, 0.631434
163, 0.394238, 2, 2, 0.384105
164, 0.908658, 2, 2, 0.788679
165, 0.0257576, 2, 2, 0.0257548
166, 0.39024, 2, 2, 0.380411
167, 0.558824, 2, 2, 0.53019
168, 0.538133, 2, 2, 0.512534
169, 0.832148, 2, 2, 0.739379
170, 0.693289, 2, 2, 0.63907
171, 0.063509, 2, 2, 0.0634663
172, 0.0423902, 2, 2, 0.0423775
173, 0.484939, 2, 2, 0.466155
174, 0.576006, 2, 2, 0.544679
175, 0.878292, 2, 2, 0.76965
176, 0.250404, 2, 2, 0.247796
177, 0.780908, 2, 2, 0.703924
178, 0.297281, 2, 2, 0.292921
179, 0.779656, 2, 2, 0.703035
180, 0.672933, 2, 2, 0.623282
181, 0.166814, 2, 2, 0.166042
182, 0.0795312, 2, 2, 0.0794474
183, 0.911466, 2, 2, 0.790403
184, 0.945311, 2, 2, 0.810679
185, 0.0357982, 2, 2, 0.0357906
186, 0.345622, 2, 2, 0.338782
187, 0.698965, 2, 2, 0.643426
188, 0.21015, 2, 2, 0.208607
189, 0.20481, 2, 2, 0.203381
190, 0.410871, 2, 2, 0.399408
191, 0.3979, 2, 2, 0.387484
192, 0.595355, 2, 2, 0.560803
193, 0.105136, 2, 2, 0.104943
194, 0.0363781, 2, 2, 0.03637
195, 0.059389, 2, 2, 0.0593541
196, 0.444105, 2, 2, 0.42965
197, 0.717307, 2, 2, 0.657358
198, 0.750023, 2, 2, 0.681656
199, 0.192145, 2, 2, 0.190964
200, 0.453413, 2, 2, 0.438037
201, 0.780938, 2, 2, 0.703946
202, 0.341075, 2, 2, 0.3345
203, 0.903317, 2, 2, 0.785385
204, 0.376751, 2, 2, 0.367901
205, 0.311563, 2, 2, 0.306547
206, 0.435255, 2, 2, 0.421642
207, 0.798761, 2, 2, 0.716492
208, 0.447401, 2, 2, 0.432624
209, 0.955351, 2, 2, 0.816517
210, 0.55565, 2, 2, 0.527496
211, 0.424909, 2, 2, 0.412238
212, 0.179144, 2, 2, 0.178187
213, 0.212653, 2, 2, 0.211054
214, 0.576586, 2, 2, 0.545165
215, 0.532365, 2, 2, 0.507572
216, 0.699606, 2, 2, 0.643917
217, 0.0623188, 2, 2, 0.0622785
218, 0.976135, 2, 2, 0.828338
219, 0.943205, 2, 2, 0.809444
220, 0.273476, 2, 2, 0.27008
221, 0.017365, 2, 2, 0.0173642
222, 0.793817, 2, 2, 0.713035
223, 0.303049, 2, 2, 0.298431
224, 0.17127, 2, 2, 0.170434
225, 0.143712, 2, 2, 0.143217
226, 0.699484, 2, 2, 0.643823
227, 0.499313, 2, 2, 0.478823
228, 0.540056, 2, 2, 0.514184
229, 0.0730613, 2, 2, 0.0729963
230, 0.0798975, 2, 2, 0.0798125
231, 0.026307, 2, 2, 0.0263039
232, 0.432295, 2, 2, 0.418956
233, 0.540941, 2, 2, 0.514943
234, 0.549272, 2, 2, 0.522067
235, 0.0793786, 2, 2, 0.0792953
236, 0.649342, 2, 2, 0.604663
237, 0.481674, 2, 2, 0.463263
238, 0.789422, 2, 2, 0.709947
239, 0.658376, 2, 2, 0.611833
240, 0.555467, 2, 2, 0.52734
241, 0.211127, 2, 2, 0.209562
242, 0.126682, 2, 2, 0.126344
243, 0.462264, 2, 2, 0.445976
244, 0.518937, 2, 2, 0.495957
245, 0.728538, 2, 2, 0.665779
246, 0.751427, 2, 2, 0.682682
247, 0.856197, 2, 2, 0.755356
248, 0.136235, 2, 2, 0.135814
249, 0.668752, 2, 2, 0.620007
250, 0.986023, 2, 2, 0.833837
251, 0.691855, 2, 2, 0.637966
252, 0.895779, 2, 2, 0.780696
253, 0.936247, 2, 2, 0.805339
254, 0.508164, 2, 2, 0.486574
255, 0.262703, 2, 2, 0.259692
256, 0.437208, 2, 2, 0.423412
257, 0.551836, 2, 2, 0.524251
258, 0.935606, 2, 2, 0.804959
259, 0.175146, 2, 2, 0.174252
260, 0.0629292, 2, 2, 0.0628876
261, 0.743736, 2, 2, 0.677042
262, 0.678121, 2, 2, 0.627331
263, 0.417005, 2, 2, 0.405024
264, 0.657582, 2, 2, 0.611205
265, 0.813654, 2, 2, 0.726802
266, 0.463668, 2, 2, 0.447232
267, 0.404614, 2, 2, 0.393664
268, 0.671926, 2, 2, 0.622495
269, 0.810022, 2, 2, 0.724303
270, 0.444349, 2, 2, 0.429871
271, 0.289407, 2, 2, 0.285384
272, 0.327708, 2, 2, 0.321874
273, 0.538713, 2, 2, 0.513031
274, 0.288949, 2, 2, 0.284945
275, 0.305948, 2, 2, 0.301197
276, 0.699362, 2, 2, 0.64373
277, 0.943175, 2, 2, 0.809426
278, 0.167791, 2, 2, 0.167005
279, 0.441725, 2, 2, 0.427499
280, 0.82873, 2, 2, 0.737074
281, 0.384594, 2, 2, 0.375183
282, 0.0365917, 2, 2, 0.0365835
283, 0.210822, 2, 2, 0.209264
284, 0.529405, 2, 2, 0.50502
285, 0.854244, 2, 2, 0.754074
286, 0.125462, 2, 2, 0.125133
287, 0.812311, 2, 2, 0.725879
288, 0.0368969, 2, 2, 0.0368885
289, 0.648091, 2, 2, 0.603666
290, 0.0389416, 2, 2, 0.0389318
291, 0.45436, 2, 2, 0.438887
292, 0.160497, 2, 2, 0.159809
293, 0.536119, 2, 2, 0.510803
294, 0.373913, 2, 2, 0.365261
295, 0.126164, 2, 2, 0.125829
296, 0.0933866, 2, 2, 0.093251
297, 0.956664, 2, 2, 0.817274
298, 0.261177, 2, 2, 0.258218
299, 0.597888, 2, 2, 0.562898
300, 0.537522, 2, 2, 0.512009
301, 0.267464, 2, 2, 0.264287
302, 0.737266, 2, 2, 0.672267
303, 0.930448, 2, 2, 0.801888
304, 0.298593, 2, 2, 0.294176
305, 0.584857, 2, 2, 0.55208
306, 0.352275, 2, 2, 0.345034
307, 0.276589, 2, 2, 0.273076
308, 0.00875881, 2, 2, 0.0087587
309, 0.241615, 2, 2, 0.239271
310, 0.920682, 2, 2, 0.796015
311, 0.254097, 2, 2, 0.251372
312, 0.131748, 2, 2, 0.131368
313, 0.395734, 2, 2, 0.385485
314, 0.820643, 2, 2, 0.731584
315, 0.672231, 2, 2, 0.622733
316, 0.908048, 2, 2, 0.788304
317, 0.82046, 2, 2, 0.731459
318, 0.748589, 2, 2, 0.680605
319, 0.893429, 2, 2, 0.779226
320, 0.395428, 2, 2, 0.385204
321, 0.407331, 2, 2, 0.39616
322, 0.335002, 2, 2, 0.328771
323, 0.610645, 2, 2, 0.573396
324, 0.261635, 2, 2, 0.25866
325, 0.413404, 2, 2, 0.401729
326, 0.52794, 2, 2, 0.503755
327, 0.322062, 2, 2, 0.316523
328, 0.485153, 2, 2, 0.466343
329, 0.983917, 2, 2, 0.832673
330, 0.150121, 2, 2, 0.149557
331, 0.284494, 2, 2, 0.280671
332, 0.620411, 2, 2, 0.581369
333, 0.981292, 2, 2, 0.831216
334, 0.536515, 2, 2, 0.511144
335, 0.226173, 2, 2, 0.224249
336, 0.783837, 2, 2, 0.706002
337, 0.652486, 2, 2, 0.607163
338, 0.657704, 2, 2, 0.611302
339, 0.601001, 2, 2, 0.565468
340, 0.0166936, 2, 2, 0.0166929
341, 0.165105, 2, 2, 0.164356
342, 0.63628, 2, 2, 0.594208
343, 0.664632, 2, 2, 0.61677
344, 0.181341, 2, 2, 0.180349
345, 0.544176, 2, 2, 0.517713
346, 0.0618915, 2, 2, 0.061852
347, 0.154424, 2, 2, 0.153811
348, 0.0465407, 2, 2, 0.0465239
349, 0.0401929, 2, 2, 0.0401821
350, 0.0114139, 2, 2, 0.0114137
351, 0.85406, 2, 2, 0.753954
352, 0.719077, 2, 2, 0.658691
353, 0.460646, 2, 2, 0.444527
354, 0.180395, 2, 2, 0.179418
355, 0.823908, 2, 2, 0.733806
356, 0.0766015, 2, 2, 0.0765266
357, 0.49501, 2, 2, 0.475041
358, 0.0319834, 2, 2, 0.0319779
359, 0.579119, 2, 2, 0.547287
360, 0.359386, 2, 2, 0.3517
361, 0.565569, 2, 2, 0.535896
362, 0.370006, 2, 2, 0.361621
363, 0.995941, 2, 2, 0.839271
364, 0.576098, 2, 2, 0.544756
365, 0.23487, 2, 2, 0.232717
366, 0.241829, 2, 2, 0.239478
367, 0.227668, 2, 2, 0.225706
368, 0.880276, 2, 2, 0.770915
369, 0.700827, 2, 2, 0.64485
370, 0.577563, 2, 2, 0.545984
371, 0.412152, 2, 2, 0.400582
372, 0.574053, 2, 2, 0.54304
373, 0.411176, 2, 2, 0.399687
374, 0.47206, 2, 2, 0.454722
375, 0.45088, 2, 2, 0.435758
376, 0.894742, 2, 2, 0.780047
377, 0.328166, 2, 2, 0.322307
378, 0.51558, 2, 2, 0.493039
379, 0.642018, 2, 2, 0.598813
380, 0.241127, 2, 2, 0.238797
381, 0.875088, 2, 2, 0.7676
382, 0.0793786, 2, 2, 0.0792953
383, 0.448256, 2, 2, 0.433394
384, 0.995392, 2, 2, 0.838972
385, 0.0954314, 2, 2, 0.0952866
386, 0.963134, 2, 2, 0.820985
387, 0.180303, 2, 2, 0.179328
388, 0.59682, 2, 2, 0.562015
389, 0.0564898, 2, 2, 0.0564597
390, 0.309214, 2, 2, 0.30431
391, 0.878048, 2, 2, 0.769494
392, 0.0240181, 2, 2, 0.0240158
393, 0.0280465, 2, 2, 0.0280428
394, 0.191565, 2, 2, 0.190395
395, 0.169897, 2, 2, 0.16908
396, 0.34135, 2, 2, 0.334759
397, 0.46794, 2, 2, 0.451049
398, 0.784051, 2, 2, 0.706154
399, 0.392224, 2, 2, 0.382244
400, 0.46614, 2, 2, 0.449441
401, 0.345408, 2, 2, 0.338581
402, 0.515427, 2, 2, 0.492907
403, 0.749443, 2, 2, 0.681231
404, 0.81283, 2, 2, 0.726236
405, 0.833583, 2, 2, 0.740344
406, 0.116764, 2, 2, 0.116499
407, 0.796716, 2, 2, 0.715064
408, 0.970397, 2, 2, 0.82511
409, 0.90231, 2, 2, 0.784761
410, 0.968017, 2, 2, 0.823763
411, 0.0259102, 2, 2, 0.0259073
412, 0.0690939, 2, 2, 0.0690389
413, 0.842891, 2, 2, 0.746569
414, 0.648946, 2, 2, 0.604347
415, 0.836512, 2, 2, 0.742311
416, 0.993164, 2, 2, 0.837758
417, 0.255257, 2, 2, 0.252494
418, 0.102298, 2, 2, 0.10212
419, 0.672353, 2, 2, 0.622829
420, 0.0950041, 2, 2, 0.0948613
421, 0.529771, 2, 2, 0.505336
422, 0.313913, 2, 2, 0.308783
423, 0.605823, 2, 2, 0.569439
424, 0.568163, 2, 2, 0.538085
425, 0.354015, 2, 2, 0.346666
426, 0.916807, 2, 2, 0.793663
427, 0.150456, 2, 2, 0.149889
428, 0.13422, 2, 2, 0.133818
429, 0.276467, 2, 2, 0.272959
430, 0.625355, 2, 2, 0.585385
431, 0.583331, 2, 2, 0.550807
432, 0.200842, 2, 2, 0.199495
433, 0.857967, 2, 2, 0.756514
434, 0.906095, 2, 2, 0.787101
435, 0.558397, 2, 2, 0.529828
436, 0.146397, 2, 2, 0.145875
437, 0.442274, 2, 2, 0.427996
438, 0.790399, 2, 2, 0.710634
439, 0.292215, 2, 2, 0.288074
440, 0.888058, 2, 2, 0.775848
441, 0.0773339, 2, 2, 0.0772568
442, 0.236793, 2, 2, 0.234586
443, 0.103183, 2, 2, 0.103
444, 0.389141, 2, 2, 0.379394
445, 0.617664, 2, 2, 0.579132
446, 0.947874, 2, 2, 0.812177
447, 0.585406, 2, 2, 0.552538
448, 0.262429, 2, 2, 0.259427
449, 0.539994, 2, 2, 0.514131
450, 0.0484329, 2, 2, 0.0484139
451, 0.198645, 2, 2, 0.197341
452, 0.125095, 2, 2, 0.124769
453, 0.503006, 2, 2, 0.482061
454, 0.531724, 2, 2, 0.50702
455, 0.55565, 2, 2, 0.527496
456, 0.862117, 2, 2, 0.759222
457, 0.182409, 2, 2, 0.181399
458, 0.878933, 2, 2, 0.770059
459, 0.187811, 2, 2, 0.186709
460, 0.453932, 2, 2, 0.438503
461, 0.41261, 2, 2, 0.401002
462, 0.759178, 2, 2, 0.688326
463, 0.0707419, 2, 2, 0.0706829
464, 0.52504, 2, 2, 0.501248
465, 0.166387, 2, 2, 0.16562
466, 0.215583, 2, 2, 0.213917
467, 0.690786, 2, 2, 0.637144
468, 0.269326, 2, 2, 0.266082
469, 0.403607, 2, 2, 0.392738
470, 0.244087, 2, 2, 0.241671
471, 0.933744, 2, 2, 0.803853
472, 0.908719, 2, 2, 0.788717
473, 0.320353, 2, 2, 0.314901
474, 0.170904, 2, 2, 0.170073
475, 0.577258, 2, 2, 0.545728
476, 0.341166, 2, 2, 0.334587
477, 0.0297555, 2, 2, 0.0297512
478, 0.735221, 2, 2, 0.670751
479, 0.667867, 2, 2, 0.619313
480, 0.134556, 2, 2, 0.13415
481, 0.205695, 2, 2, 0.204247
482, 0.283181, 2, 2, 0.279412
483, 0.564165, 2, 2, 0.534711
484, 0.522355, 2, 2, 0.498922
485, 0.720542, 2, 2, 0.659792
486, 0.979461, 2, 2, 0.830197
487, 0.927, 2, 2, 0.799823
488, 0.557543, 2, 2, 0.529103
489, 0.808374, 2, 2, 0.723165
490, 0.442488, 2, 2, 0.428189
491, 0.438459, 2, 2, 0.424545
492, 0.0810266, 2, 2, 0.080938
493, 0.784845, 2, 2, 0.706715
494, 0.710135, 2, 2, 0.651936
495, 0.530564, 2, 2, 0.50602
496, 0.660695, 2, 2, 0.613666
497, 0.855007, 2, 2, 0.754575
498, 0.941313, 2, 2, 0.808332
499, 0.904721, 2, 2, 0.786253
500, 0.157476, 2, 2, 0.156825
501, 0.0400098, 2, 2, 0.0399991
502, 0.760399, 2, 2, 0.689211
503, 0.123814, 2, 2, 0.123497
504, 0.0746178, 2, 2, 0.0745485
505, 0.754601, 2, 2, 0.684998
506, 0.65041, 2, 2, 0.605513
507, 0.05768, 2, 2, 0.057648
508, 0.346263, 2, 2, 0.339385
509, 0.0657674, 2, 2, 0.06572
510, 0.301279, 2, 2, 0.296742
511, 0.463057, 2, 2, 0.446686
512, 0.722037, 2, 2, 0.660915
513, 0.1648, 2, 2, 0.164055
514, 0.319498, 2, 2, 0.31409
515, 0.480056, 2, 2, 0.461829
516, 0.40318, 2, 2, 0.392345
517, 0.0830103, 2, 2, 0.082915
518, 0.205206, 2, 2, 0.203769
519, 0.325571, 2, 2, 0.31985
520, 0.0872829, 2, 2, 0.0871722
521, 0.183294, 2, 2, 0.18227
522, 0.00323496, 2, 2, 0.00323496
523, 0.965178, 2, 2, 0.82215
524, 0.0772423, 2, 2, 0.0771656
525, 0.457839, 2, 2, 0.44201
526, 0.534165, 2, 2, 0.509123
527, 0.0449843, 2, 2, 0.0449691
528, 0.61095, 2, 2, 0.573646
529, 0.16422, 2, 2, 0.163483
530, 0.611774, 2, 2, 0.574321
531, 0.864467, 2, 2, 0.76075
532, 0.0679037, 2, 2, 0.0678515
533, 0.830317, 2, 2, 0.738145
534, 0.152959, 2, 2, 0.152363
535, 0.671377, 2, 2, 0.622064
536, 0.209235, 2, 2, 0.207712
537, 0.159642, 2, 2, 0.158965
538, 0.586657, 2, 2, 0.55358
539, 0.0603656, 2, 2, 0.060329
540, 0.106876, 2, 2, 0.106672
541, 0.868526, 2, 2, 0.763378
542, 0.467574, 2, 2, 0.450722
543, 0.756371, 2, 2, 0.686286
544, 0.918668, 2, 2, 0.794794
545, 0.98587, 2, 2, 0.833753
546, 0.70159, 2, 2, 0.645433
547, 0.563799, 2, 2, 0.534401
548, 0.165288, 2, 2, 0.164537
549, 0.647359, 2, 2, 0.603082
550, 0.288369, 2, 2, 0.284389
551, 0.763359, 2, 2, 0.691353
552, 0.665487, 2, 2, 0.617442
553, 0.914884, 2, 2, 0.792492
554, 0.988189, 2, 2, 0.835031
555, 0.7369, 2, 2, 0.671995
556, 0.785668, 2, 2, 0.707298
557, 0.652577, 2, 2, 0.607236
558, 0.818445, 2, 2, 0.730084
559, 0.102573, 2, 2, 0.102393
560, 0.160222, 2, 2, 0.159538
561, 0.990844, 2, 2, 0.836489
562, 0.786798, 2, 2, 0.708096
563, 0.140599, 2, 2, 0.140136
564, 0.538957, 2, 2, 0.513241
565, 0.409467, 2, 2, 0.39812
566, 0.766839, 2, 2, 0.693862
567, 0.791436, 2, 2, 0.711364
568, 0.917325, 2, 2, 0.793978
569, 0.971282, 2, 2, 0.82561
570, 0.92233, 2, 2, 0.797011
571, 0.00744652, 2, 2, 0.00744645
572, 0.606647, 2, 2, 0.570116
573, 0.737022, 2, 2, 0.672086
574, 0.586901, 2, 2, 0.553784
575, 0.739433, 2, 2, 0.673869
576, 0.399518, 2, 2, 0.388974
577, 0.893735, 2, 2, 0.779417
578, 0.00482192, 2, 2, 0.00482191
579, 0.339061, 2, 2, 0.332601
580, 0.487655, 2, 2, 0.468556
581, 0.626667, 2, 2, 0.586448
582, 0.839503, 2, 2, 0.744311
583, 0.658528, 2, 2, 0.611954
584, 0.287454, 2, 2, 0.283511
585, 0.267037, 2, 2, 0.263875
586, 0.855556, 2, 2, 0.754936
587, 0.628895, 2, 2, 0.588251
588, 0.83047, 2, 2, 0.738248
589, 0.746208, 2, 2, 0.678859
590, 0.681326, 2, 2, 0.629823
591, 0.598102, 2, 2, 0.563075
592, 0.874233, 2, 2, 0.767052
593, 0.887753, 2, 2, 0.775655
594, 0.0574358, 2, 2, 0.0574043
595, 0.209937, 2, 2, 0.208398
596, 0.390179, 2, 2, 0.380354
597, 0.568773, 2, 2, 0.538599
598, 0.478164, 2, 2, 0.46015
599, 0.10535, 2, 2, 0.105155
600, 0.584857, 2, 2, 0.55208
601, 0.281503, 2, 2, 0.2778
602, 0.631245, 2, 2, 0.59015
603, 0.227241, 2, 2, 0.22529
604, 0.110385, 2, 2, 0.110161
605, 0.126652, 2, 2, 0.126313
606, 0.54326, 2, 2, 0.516929
607, 0.0101627, 2, 2, 0.0101625
608, 0.620869, 2, 2, 0.581742
609, 0.769524, 2, 2, 0.695794
610, 0.835963, 2, 2, 0.741943
611, 0.235725, 2, 2, 0.233548
612, 0.330454, 2, 2, 0.324473
613, 0.390332, 2, 2, 0.380495
614, 0.000396741, 2, 2, 0.000396741
615, 0.835566, 2, 2, 0.741676
616, 0.72985, 2, 2, 0.666758
617, 0.159917, 2, 2, 0.159236
618, 0.094821, 2, 2, 0.094679
619, 0.422681, 2, 2, 0.410207
620, 0.117222, 2, 2, 0.116953
621, 0.272195, 2, 2, 0.268846
622, 0.772485, 2, 2, 0.697917
623, 0.832606, 2, 2, 0.739688
624, 0.099826, 2, 2, 0.0996603
625, 0.0642109, 2, 2, 0.0641668
626, 0.0460524, 2, 2, 0.0460362
627, 0.455519, 2, 2, 0.439929
628, 0.722434, 2, 2, 0.661213
629, 0.255684, 2, 2, 0.252907
630, 0.694479, 2, 2, 0.639985
631, 0.640706, 2, 2, 0.597761
632, 0.37907, 2, 2, 0.370057
633, 0.838679, 2, 2, 0.743761
634, 0.718589, 2, 2, 0.658323
635, 0.954466, 2, 2, 0.816005
636, 0.164342, 2, 2, 0.163603
637, 0.648976, 2, 2, 0.604371
638, 0.751976, 2, 2, 0.683083
639, 0.572741, 2, 2, 0.541938
640, 0.820307, 2, 2, 0.731355
641, 0.150578, 2, 2, 0.15001
642, 0.832942, 2, 2, 0.739913
643, 0.590045, 2, 2, 0.556398
644, 0.935179, 2, 2, 0.804705
645, 0.463973, 2, 2, 0.447505
646, 0.444288, 2, 2, 0.429816
647, 0.525193, 2, 2, 0.50138
648, 0.550493, 2, 2, 0.523107
649, 0.169988, 2, 2, 0.169171
650, 0.226814, 2, 2, 0.224874
651, 0.805994, 2, 2, 0.721519
652, 0.832728, 2, 2, 0.73977
653, 0.920316, 2, 2, 0.795793
654, 0.272835, 2, 2, 0.269463
655, 0.513321, 2, 2, 0.491073
656, 0.96527, 2, 2, 0.822203
657, 0.385784, 2, 2, 0.376286
658, 0.406171, 2, 2, 0.395095
659, 0.166662, 2, 2, 0.165891
660, 0.917783, 2, 2, 0.794257
661, 0.574053, 2, 2, 0.54304
662, 0.354472, 2, 2, 0.347096
663, 0.831355, 2, 2, 0.738845
664, 0.248421, 2, 2, 0.245873
665, 0.0472427, 2, 2, 0.0472251
666, 0.22071, 2, 2, 0.218922
667, 0.329844, 2, 2, 0.323895
668, 0.595874, 2, 2, 0.561232
669, 0.0717795, 2, 2, 0.0717179
670, 0.15952, 2, 2, 0.158845
671, 0.837519, 2, 2, 0.742985
672, 0.0165716, 2, 2, 0.0165708
673, 0.230537, 2, 2, 0.2285
674, 0.664876, 2, 2, 0.616962
675, 0.644398, 2, 2, 0.600718
676, 0.824488, 2, 2, 0.7342
677, 0.529496, 2, 2, 0.505099
678, 0.375378, 2, 2, 0.366624
679, 0.36436, 2, 2, 0.356352
680, 0.0885037, 2, 2, 0.0883882
681, 0.529862, 2, 2, 0.505415
682, 0.803491, 2, 2, 0.719784
683, 0.372784, 2, 2, 0.364209
684, 0.444929, 2, 2, 0.430394
685, 0.536393, 2, 2, 0.511039
686, 0.894589, 2, 2, 0.779952
687, 0.753838, 2, 2, 0.684442
688, 0.379894, 2, 2, 0.370822
689, 0.374096, 2, 2, 0.365431
690, 0.822596, 2, 2, 0.732914
